Brand,Position,Previous Position,Brand Value ($M),Previous Brand Value ($M),Rating,Previous Rating,Year,Previous Year
Apple,1,1,145917.6,128303.17,AAA,AAA,,
Google,2,3,88173,76683.12,AAA+,AAA,,
Amazon,3,8,69642.27,56124.06,AA+,AAA-,,
Microsoft,4,4,67257.87,67060.47,AAA,AAA,,
Verizon,5,5,63116.32,59843.21,AAA,AAA-,,
AT&T,6,6,59903.58,58820,AA,AA+,,
Samsung,7,2,58619.07,81715.59,AAA,AAA-,,
Walmart,8,7,53656.52,56705,AA,AA+,,
China Mobile,9,11,49809.75,47915.78,AAA-,AAA-,,
Wells Fargo,10,15,44169.68,34925.23,AA+,AAA-,,
Toyota,11,14,43064.35,35016.57,AAA-,AAA-,,
McDonald's,12,9,42936.68,52909,AAA,AAA-,,
ICBC,13,22,36334.23,27458.93,AA+,AA+,,
China Construction Bank,14,27,35394,26417.24,AAA,AAA-,,
BMW,15,16,34967.82,33079.38,AAA,AAA,,
Coca-Cola,16,12,34179.93,35796.93,AAA+,AAA+,,
Facebook,17,32,34002.09,24180.42,AAA-,AAA-,,
T (Deutsche Telekom),18,17,33194.18,31107.93,AA+,AA+,,
Agricultural Bank Of China,19,37,32261,22714.05,AAA,AA+,,
Mercedes-Benz,20,24,32048.76,27327.66,AAA,AAA,,
IBM,21,13,31786.3,35427.79,AA,AA+,,
NTT Group,22,23,31678.26,27375.64,AA,AA-,,
Shell,23,19,31665.29,30716.42,AA+,AAA-,,
Walt Disney,24,20,31231.16,30697.62,AAA+,AAA,,
Chase,25,34,30602.97,23392,AAA-,AA,,
Marlboro,26,21,29935,28608.15,AAA-,AAA-,,
General Electric,27,10,29211,48018.54,AA+,AA+,,
Home Depot,28,31,28798.18,24471.12,AAA-,AA+,,
Nike,29,33,28041.16,24118.43,AAA-,AAA+,,
Vodafone,30,25,27819.68,27286.86,AA+,AA+,,
Mitsubishi Group,31,38,27774.82,22679,AA,AA,,
Bank of China,32,47,27735.02,20391.69,AAA,AAA-,,
Bank of America,33,29,26927.51,25713.29,AA,AA+,,
Citi,34,28,26031.04,26209.96,AA+,AA+,,
Xfinity,35,-,24186,-,AA+,-,,
HSBC,36,26,24172.28,27280.03,AAA-,AAA,,
Hyundai Group,37,53,23796.29,19357,AA+,AAA-,,
Nestle,38,43,23395,21225.26,AAA,AAA,,
Starbucks,39,-,23184.52,-,AAA-,-,,
CVS Caremark,40,48,22891,20266.66,AA+,AA+,,
Intel,41,30,22844.88,25011.09,AA+,AAA-,,
Oracle,42,36,22136.24,22888.31,AA,AA+,,
Ford,43,45,20342,20860,AA,AA+,,
PetroChina,44,35,20317.6,23317,AA,AA,,
CSCEC,45,113,20214.25,10806.17,AA-,AA-,,
Sinopec,46,42,20156.11,21278,AA,AA,,
Huawei,47,102,19742.59,11621.41,AA,AA,,
UPS,48,51,19565.28,19537,AAA-,AA+,,
Honda,49,39,19332.43,22423.52,AAA-,AAA-,,
ExxonMobil,50,56,19226.89,18242.48,AA,AA+,,
Cisco,51,63,19162.29,16339,AAA-,AAA-,,
SoftBank,52,65,19135,16038.89,AA,AA,,
Orange,53,49,19095.63,19866.7,AA+,AA+,,
Siemens,54,46,19001.62,20508.3,AA+,AA+,,
Pepsi,55,41,18947.24,21379.41,AAA,AAA-,,
Volkswagen,56,18,18923.18,31025.27,AA+,AAA-,,
PWC,57,62,18569.3,17330.09,AAA+,AAA+,,
American Express,58,40,18482.67,21567.36,AA+,AA+,,
BT,59,64,18442.23,16175.21,AAA-,AAA-,,
Alibaba,60,106,17968.27,11377.27,AA+,AA+,,
Chevron,61,57,17821.59,18162.54,AA+,AA+,,
Nissan,62,58,17785.46,18084.95,AAA-,AA+,,
IKEA,63,55,17009.27,18539.94,AA,AA-,,
BP,64,72,16962.01,14743.22,AA,AA+,,
Allianz,65,44,16426.41,20937.14,AA,AA+,,
Baidu,66,85,16418.41,13284.21,AAA-,AA+,,
Barclays,67,81,16235.86,14205.8,AA,AA,,
Deloitte,68,75,16159.63,14694.16,AAA,AAA,,
NBC,69,99,16103.47,12004.48,AAA+,AAA-,,
Santander,70,54,15688.51,18700.48,AA+,AAA-,,
Bosch,71,95,15611.56,12384.01,AAA-,AA+,,
Fox,72,77,15540.84,14502.6,AAA-,AAA-,,
BNP Paribas,73,71,15530.86,14938.58,AA+,AA,,
H&M,74,74,15510.16,14715.41,AA+,AA,,
Target,75,66,15331.23,15380.69,AA,AA,,
Johnson's,76,60,15114.77,17742.06,AAA+,AAA+,,
UnitedHealth Group,77,121,14933.52,10230.62,AA,AA,,
Total,78,69,14736.56,15203.47,AA,AA,,
Walgreens,79,68,14315.13,15345,AA,AA+,,
Boeing,80,70,13955.78,15198.58,AAA,AAA,,
Tata Group,81,67,13688.19,15377.99,A+,AA,,
China Telecom,82,82,13684.09,14064.34,AA,AA+,,
China Merchants Bank,83,140,13238.58,8880.28,AAA,AAA-,,
FedEx,84,84,13079.37,13672.18,AA,AA+,,
J.P. Morgan,85,100,12948,11958.17,AA-,AA,,
au,86,89,12788.49,12676.51,AA,AA+,,
Lowe's,87,87,12717.48,12789.93,AA,AA,,
Accenture,88,108,12686.81,11086.68,AA+,AA,,
Sumitomo Group,89,120,12678.37,10269,AA-,AA,,
EY,90,110,12671.98,10993.88,AAA,AAA-,,
Ping An,91,104,12670.96,11513.46,AAA+,AA+,,
MUFG,92,76,12650.84,14511.33,AA,AA,,
Tesco,93,109,12499.33,11052,AA,AA,,
Hitachi,94,-,12322,-,A+,-,,
Sam's Club,95,78,12202,14452.98,AA,AA,,
