Brand,Position,Previous Position,Brand Value ($M),Previous Brand Value ($M),Rating,Previous Rating,Year,Previous Year
LG Group,96,98,12114.53,12114.53,AA,AA,,
Costco,97,114,11846.76,10551,AA+,AA,,
Capital One,98,129,11658.1,9391.66,AAA-,AA,,
Engie,99,-,11443.26,-,AA,-,,
Visa,100,148,11393.31,8528.26,A+,AA+,,
L'Oreal,101,92,🔒,🔒,🔒,🔒,,
Sky,102,-,🔒,🔒,🔒,🔒,,
Uber,103,-,🔒,🔒,🔒,🔒,,
Telstra,104,143,🔒,🔒,🔒,🔒,,
KPMG,105,96,🔒,🔒,🔒,🔒,,
China Life,106,118,🔒,🔒,🔒,🔒,,
Bank of Communications,107,175,🔒,🔒,🔒,🔒,,
Louis Vuitton,108,219,🔒,🔒,🔒,🔒,,
China Unicom,109,83,🔒,🔒,🔒,🔒,,
Airbus,110,88,🔒,🔒,🔒,🔒,,
Anthem,111,-,🔒,🔒,🔒,🔒,,
Medtronic,112,196,🔒,🔒,🔒,🔒,,
Zara,113,145,🔒,🔒,🔒,🔒,,
Petronas,114,127,🔒,🔒,🔒,🔒,,
Tencent,115,153,🔒,🔒,🔒,🔒,,
Royal Bank Of Canada,116,93,🔒,🔒,🔒,🔒,,
Audi,117,126,🔒,🔒,🔒,🔒,,
Dell,118,-,🔒,🔒,🔒,🔒,,
DHL,119,122,🔒,🔒,🔒,🔒,,
Youtube,120,-,🔒,🔒,🔒,🔒,,
TD Bank,121,107,🔒,🔒,🔒,🔒,,
Paypal,122,142,🔒,🔒,🔒,🔒,,
DirecTV,123,119,🔒,🔒,🔒,🔒,,
Ericsson,124,133,🔒,🔒,🔒,🔒,,
Carrefour,125,125,🔒,🔒,🔒,🔒,,
Bell,126,163,🔒,🔒,🔒,🔒,,
JD.com,127,193,🔒,🔒,🔒,🔒,,
Time Warner Cable,128,154,🔒,🔒,🔒,🔒,,
CRECG,129,-,🔒,🔒,🔒,🔒,,
EDF,130,124,🔒,🔒,🔒,🔒,,
SAP,131,115,🔒,🔒,🔒,🔒,,
Sony,132,159,🔒,🔒,🔒,🔒,,
CRCC,133,485,🔒,🔒,🔒,🔒,,
Eni,134,156,🔒,🔒,🔒,🔒,,
UBS,135,103,🔒,🔒,🔒,🔒,,
Mitsui Group,136,61,🔒,🔒,🔒,🔒,,
Chevrolet,137,174,🔒,🔒,🔒,🔒,,
Central Japan Rail,138,-,🔒,🔒,🔒,🔒,,
Axa,139,52,🔒,🔒,🔒,🔒,,
ALDI,140,80,🔒,🔒,🔒,🔒,,
SK Group,141,112,🔒,🔒,🔒,🔒,,
Lidl,142,138,🔒,🔒,🔒,🔒,,
Deutsche Bank,143,111,🔒,🔒,🔒,🔒,,
KFC,144,117,🔒,🔒,🔒,🔒,,
eBay,145,123,🔒,🔒,🔒,🔒,,
China Minsheng Bank,146,240,🔒,🔒,🔒,🔒,,
Renault,147,147,🔒,🔒,🔒,🔒,,
BBVA,148,152,🔒,🔒,🔒,🔒,,
Mastercard,149,190,🔒,🔒,🔒,🔒,,
O2,150,150,🔒,🔒,🔒,🔒,,
Goldman Sachs,151,128,🔒,🔒,🔒,🔒,,
Lloyds Bank,152,187,🔒,🔒,🔒,🔒,,
Morgan Stanley,153,139,🔒,🔒,🔒,🔒,,
Danone,154,151,🔒,🔒,🔒,🔒,,
HP,155,59,🔒,🔒,🔒,🔒,,
Movistar,156,116,🔒,🔒,🔒,🔒,,
Philips,157,155,🔒,🔒,🔒,🔒,,
Sprint,158,188,🔒,🔒,🔒,🔒,,
Land Rover,159,207,🔒,🔒,🔒,🔒,,
Enel,160,172,🔒,🔒,🔒,🔒,,
Cartier,161,197,🔒,🔒,🔒,🔒,,
Hilton,162,-,🔒,🔒,🔒,🔒,,
ING,163,-,🔒,🔒,🔒,🔒,,
ING,164,141,🔒,🔒,🔒,🔒,,
CBS,165,149,🔒,🔒,🔒,🔒,,
Woolworths,166,137,🔒,🔒,🔒,🔒,,
Emirates,167,200,🔒,🔒,🔒,🔒,,
Union Pacific,168,184,🔒,🔒,🔒,🔒,,
Hermes,169,186,🔒,🔒,🔒,🔒,,
Metlife,170,176,🔒,🔒,🔒,🔒,,
Johnson & Johnson,171,179,🔒,🔒,🔒,🔒,,
ANZ,172,198,🔒,🔒,🔒,🔒,,
Rabobank,173,181,🔒,🔒,🔒,🔒,,
AIA,174,283,🔒,🔒,🔒,🔒,,
Cognizant,175,436,🔒,🔒,🔒,🔒,,
CRRC,176,266,🔒,🔒,🔒,🔒,,
Scotiabank,177,180,🔒,🔒,🔒,🔒,,
Uniqlo,178,211,🔒,🔒,🔒,🔒,,
ABC,179,-,🔒,🔒,🔒,🔒,,
Credit Suisse,180,132,🔒,🔒,🔒,🔒,,
Kellogg's,181,177,🔒,🔒,🔒,🔒,,
Societa Generale,182,168,🔒,🔒,🔒,🔒,,
Moutai,183,316,🔒,🔒,🔒,🔒,,
Gillette,184,136,🔒,🔒,🔒,🔒,,
Commonwealth Bank of Australia,185,166,🔒,🔒,🔒,🔒,,
China CITIC Bank,186,279,🔒,🔒,🔒,🔒,,
Aetna,187,210,🔒,🔒,🔒,🔒,,
Adidas,188,171,🔒,🔒,🔒,🔒,,
Marubeni,189,218,🔒,🔒,🔒,🔒,,
BBC,190,228,🔒,🔒,🔒,🔒,,
Panasonic,191,131,🔒,🔒,🔒,🔒,,
Humana,192,287,🔒,🔒,🔒,🔒,,
Canon,193,208,🔒,🔒,🔒,🔒,,
ASDA,194,157,🔒,🔒,🔒,🔒,,
Swisscom,195,232,🔒,🔒,🔒,🔒,,
Toshiba,196,134,🔒,🔒,🔒,🔒,,
Vanke,197,244,🔒,🔒,🔒,🔒,,
Sberbank,198,144,🔒,🔒,🔒,🔒,,
Booking.com,199,234,🔒,🔒,🔒,🔒,,
E.ON,200,130,🔒,🔒,🔒,🔒,,
Warner Bros.,201,173,🔒,🔒,🔒,🔒,,
3M,202,97,🔒,🔒,🔒,🔒,,
Statoil,203,170,🔒,🔒,🔒,🔒,,
Red Bull,204,169,🔒,🔒,🔒,🔒,,
Bridgestone,205,243,🔒,🔒,🔒,🔒,,
WeChat,206,434,🔒,🔒,🔒,🔒,,
Pampers,207,220,🔒,🔒,🔒,🔒,,
Industrial Bank Co,208,310,🔒,🔒,🔒,🔒,,
Shanghai Pudong Development Bank,209,357,🔒,🔒,🔒,🔒,,
EE,210,237,🔒,🔒,🔒,🔒,,
Allstate,211,209,🔒,🔒,🔒,🔒,,
Delta,212,215,🔒,🔒,🔒,🔒,,
Zurich,213,165,🔒,🔒,🔒,🔒,,
U.S. Bancorp,214,245,🔒,🔒,🔒,🔒,,
Centurylink,215,199,🔒,🔒,🔒,🔒,,
BASF,216,212,🔒,🔒,🔒,🔒,,
E Leclerc,217,253,🔒,🔒,🔒,🔒,,
Telenor,218,178,🔒,🔒,🔒,🔒,,
Telecom Italia,219,167,🔒,🔒,🔒,🔒,,
Pall Mall,220,-,🔒,🔒,🔒,🔒,,
Camel,221,-,🔒,🔒,🔒,🔒,,
Nivea,222,204,🔒,🔒,🔒,🔒,,
Nescafe,223,260,🔒,🔒,🔒,🔒,,
American Airlines,224,417,🔒,🔒,🔒,🔒,,
Honeywell,225,146,🔒,🔒,🔒,🔒,,
Conocophillips,226,224,🔒,🔒,🔒,🔒,,
Publix,227,251,🔒,🔒,🔒,🔒,,
Lukoil,228,239,🔒,🔒,🔒,🔒,,
Sumitomo Mitsui Financial Group,229,-,🔒,🔒,🔒,🔒,,
Clinique,230,-,🔒,🔒,🔒,🔒,,
Rolex,231,250,🔒,🔒,🔒,🔒,,
Michelin,232,267,🔒,🔒,🔒,🔒,,
NETFLIX,233,376,🔒,🔒,🔒,🔒,,
Kraft,234,353,🔒,🔒,🔒,🔒,,
Bank of Montreal,235,185,🔒,🔒,🔒,🔒,,
Westpac,236,242,🔒,🔒,🔒,🔒,,
Kroger,237,227,🔒,🔒,🔒,🔒,,
Macy's,238,164,🔒,🔒,🔒,🔒,,
Lockheed Martin,239,216,🔒,🔒,🔒,🔒,,
Mizuho Financial Group,240,202,🔒,🔒,🔒,🔒,,
Airtel,241,313,🔒,🔒,🔒,🔒,,
Victoria's Secret,242,343,🔒,🔒,🔒,🔒,,
State Bank of India,243,205,🔒,🔒,🔒,🔒,,
Purina,244,222,🔒,🔒,🔒,🔒,,
Shinhan Financial Group,245,189,🔒,🔒,🔒,🔒,,
Neutrogena,246,-,🔒,🔒,🔒,🔒,,
Mitsui & Co,247,-,🔒,🔒,🔒,🔒,,
3,248,297,🔒,🔒,🔒,🔒,,
ABB,249,321,🔒,🔒,🔒,🔒,,
20th Century Fox,250,309,🔒,🔒,🔒,🔒,,
Aviva,251,217,🔒,🔒,🔒,🔒,,
STC,252,241,🔒,🔒,🔒,🔒,,
PICC,253,293,🔒,🔒,🔒,🔒,,
Nordea,254,195,🔒,🔒,🔒,🔒,,
nab,255,264,🔒,🔒,🔒,🔒,,
PNC,256,273,🔒,🔒,🔒,🔒,,
TeliaSonera,257,263,🔒,🔒,🔒,🔒,,
Lotte Group,258,275,🔒,🔒,🔒,🔒,,
Gucci,259,192,🔒,🔒,🔒,🔒,,
Dalian Wanda Commercial Properties,260,-,🔒,🔒,🔒,🔒,,
Xiaomi,261,397,🔒,🔒,🔒,🔒,,
Vinci,262,201,🔒,🔒,🔒,🔒,,
Marriot,263,-,🔒,🔒,🔒,🔒,,
DBS,264,323,🔒,🔒,🔒,🔒,,
Ping An Bank,265,-,🔒,🔒,🔒,🔒,,
Tim Horton's,266,214,🔒,🔒,🔒,🔒,,
BHP Billiton,267,221,🔒,🔒,🔒,🔒,,
KT,268,289,🔒,🔒,🔒,🔒,,
Jardines,269,248,🔒,🔒,🔒,🔒,,
Schlumberger,270,367,🔒,🔒,🔒,🔒,,
Petrobras,271,229,🔒,🔒,🔒,🔒,,
Thomson Reuters,272,254,🔒,🔒,🔒,🔒,,
Fiat,273,225,🔒,🔒,🔒,🔒,,
Sainsbury's,274,194,🔒,🔒,🔒,🔒,,
CPIC,275,231,🔒,🔒,🔒,🔒,,
Harley-Davidson,276,336,🔒,🔒,🔒,🔒,,
L&M,277,-,🔒,🔒,🔒,🔒,,
Yahoo! Group,278,-,🔒,🔒,🔒,🔒,,
Alliance Healthcare,279,-,🔒,🔒,🔒,🔒,,
LIC,280,277,🔒,🔒,🔒,🔒,,
Glencore Xstrata,281,213,🔒,🔒,🔒,🔒,,
Newport,282,-,🔒,🔒,🔒,🔒,,
AIG,283,203,🔒,🔒,🔒,🔒,,
Adobe,284,340,🔒,🔒,🔒,🔒,,
Lexus,285,341,🔒,🔒,🔒,🔒,,
Mobil,286,298,🔒,🔒,🔒,🔒,,
Nordstrom,287,226,🔒,🔒,🔒,🔒,,
LG,288,-,🔒,🔒,🔒,🔒,,
Bud Light,289,261,🔒,🔒,🔒,🔒,,
McKinsey,290,349,🔒,🔒,🔒,🔒,,
Kia,291,259,🔒,🔒,🔒,🔒,,
Marks & Spencer,292,272,🔒,🔒,🔒,🔒,,
Dollar General,293,372,🔒,🔒,🔒,🔒,,
Coles,294,235,🔒,🔒,🔒,🔒,,
Garnier,295,304,🔒,🔒,🔒,🔒,,
EMC,296,299,🔒,🔒,🔒,🔒,,
Pantene,297,256,🔒,🔒,🔒,🔒,,
7-Eleven,298,354,🔒,🔒,🔒,🔒,,
Infosys,299,448,🔒,🔒,🔒,🔒,,
Gazprom,300,183,🔒,🔒,🔒,🔒,,
Daiwa House,301,432,🔒,🔒,🔒,🔒,,
Domino's Pizza,302,-,🔒,🔒,🔒,🔒,,
Domino's Pizza,303,-,🔒,🔒,🔒,🔒,,
Halifax,304,384,🔒,🔒,🔒,🔒,,
Generali Group,305,86,🔒,🔒,🔒,🔒,,
Standard Chartered,306,262,🔒,🔒,🔒,🔒,,
Poly Real Estate,307,473,🔒,🔒,🔒,🔒,,
Huggies,308,345,🔒,🔒,🔒,🔒,,
Tyson Foods,309,334,🔒,🔒,🔒,🔒,,
Claro,310,274,🔒,🔒,🔒,🔒,,
Telus,311,288,🔒,🔒,🔒,🔒,,
Taiwan Semiconductor,312,-,🔒,🔒,🔒,🔒,,
CIBC,313,281,🔒,🔒,🔒,🔒,,
salesforce,314,425,🔒,🔒,🔒,🔒,,
ITV,315,-,🔒,🔒,🔒,🔒,,
Johnnie Walker,316,246,🔒,🔒,🔒,🔒,,
British Airways,317,419,🔒,🔒,🔒,🔒,,
Prudential (UK),318,158,🔒,🔒,🔒,🔒,,
Swiss Re,319,268,🔒,🔒,🔒,🔒,,
Burger King,320,-,🔒,🔒,🔒,🔒,,
LeEco,321,-,🔒,🔒,🔒,🔒,,
Geico,322,324,🔒,🔒,🔒,🔒,,
ADP,323,390,🔒,🔒,🔒,🔒,,
Esso,324,319,🔒,🔒,🔒,🔒,,
CNOOC,325,314,🔒,🔒,🔒,🔒,,
Lego,326,378,🔒,🔒,🔒,🔒,,
Lay's,327,352,🔒,🔒,🔒,🔒,,
Budweiser,328,332,🔒,🔒,🔒,🔒,,
Prudential (US),329,276,🔒,🔒,🔒,🔒,,
United Airlines,330,280,🔒,🔒,🔒,🔒,,
Mazda,331,290,🔒,🔒,🔒,🔒,,
Porsche,332,387,🔒,🔒,🔒,🔒,,
BD,333,-,🔒,🔒,🔒,🔒,,
Heinz,334,230,🔒,🔒,🔒,🔒,,
Unilever,335,282,🔒,🔒,🔒,🔒,,
Ferrari,336,294,🔒,🔒,🔒,🔒,,
Pfizer,337,464,🔒,🔒,🔒,🔒,,
China Southern,338,-,🔒,🔒,🔒,🔒,,
Linkedin,339,445,🔒,🔒,🔒,🔒,,
Rogers,340,286,🔒,🔒,🔒,🔒,,
Chanel,341,278,🔒,🔒,🔒,🔒,,
Bayer,342,295,🔒,🔒,🔒,🔒,,
MINI,343,302,🔒,🔒,🔒,🔒,,
Burberry,344,305,🔒,🔒,🔒,🔒,,
Falabella,345,-,🔒,🔒,🔒,🔒,,
Exxon,346,366,🔒,🔒,🔒,🔒,,
Enterprise,347,-,🔒,🔒,🔒,🔒,,
Expedia,348,429,🔒,🔒,🔒,🔒,,
Lenovo,349,258,🔒,🔒,🔒,🔒,,
Heineken,350,338,🔒,🔒,🔒,🔒,,
Dish Network,351,291,🔒,🔒,🔒,🔒,,
China Everbright Bank,352,-,🔒,🔒,🔒,🔒,,
Dai-Ichi Life,353,233,🔒,🔒,🔒,🔒,,
Kohl's,354,364,🔒,🔒,🔒,🔒,,
Fresenius,355,423,🔒,🔒,🔒,🔒,,
ESPN,356,182,🔒,🔒,🔒,🔒,,
priceline.com,357,373,🔒,🔒,🔒,🔒,,
Travelers,358,360,🔒,🔒,🔒,🔒,,
Saint-Gobain,359,308,🔒,🔒,🔒,🔒,,
General Dynamics,360,303,🔒,🔒,🔒,🔒,,
Optum,361,-,🔒,🔒,🔒,🔒,,
Pizza Hut,362,-,🔒,🔒,🔒,🔒,,
Sun Hung Kai Properties,363,465,🔒,🔒,🔒,🔒,,
Bouygues Group,364,-,🔒,🔒,🔒,🔒,,
Winston,365,-,🔒,🔒,🔒,🔒,,
Yili,366,-,🔒,🔒,🔒,🔒,,
Iberdrola,367,247,🔒,🔒,🔒,🔒,,
Tiffany & Co.,368,-,🔒,🔒,🔒,🔒,,
Estee Lauder,369,331,🔒,🔒,🔒,🔒,,
Twitter,370,328,🔒,🔒,🔒,🔒,,
Western Digital,371,382,🔒,🔒,🔒,🔒,,
Air China,372,-,🔒,🔒,🔒,🔒,,
Qualcomm,373,270,🔒,🔒,🔒,🔒,,
Under Armour,374,494,🔒,🔒,🔒,🔒,,
Dove,375,236,🔒,🔒,🔒,🔒,,
Novartis,376,392,🔒,🔒,🔒,🔒,,
SYSCO,377,285,🔒,🔒,🔒,🔒,,
Suzuki,378,363,🔒,🔒,🔒,🔒,,
Subaru,379,388,🔒,🔒,🔒,🔒,,
Gatorade,380,-,🔒,🔒,🔒,🔒,,
Evergrande Real,381,-,🔒,🔒,🔒,🔒,,
Motorola,382,386,🔒,🔒,🔒,🔒,,
Dow,383,461,🔒,🔒,🔒,🔒,,
SFR,384,320,🔒,🔒,🔒,🔒,,
AutoZone,385,421,🔒,🔒,🔒,🔒,,
Aflac,386,492,🔒,🔒,🔒,🔒,,
Ace,387,481,🔒,🔒,🔒,🔒,,
Merrill Lynch,388,422,🔒,🔒,🔒,🔒,,
Volvo,389,347,🔒,🔒,🔒,🔒,,
Discover,390,403,🔒,🔒,🔒,🔒,,
Dollar Tree,391,-,🔒,🔒,🔒,🔒,,
BNY Mellon,392,292,🔒,🔒,🔒,🔒,,
Express Script,393,344,🔒,🔒,🔒,🔒,,
Michael Kors,394,252,🔒,🔒,🔒,🔒,,
Halliburton,395,-,🔒,🔒,🔒,🔒,,
NatWest,396,385,🔒,🔒,🔒,🔒,,
Roche,397,337,🔒,🔒,🔒,🔒,,
Xerox,398,394,🔒,🔒,🔒,🔒,,
Fujitsu,399,379,🔒,🔒,🔒,🔒,,
Activision Blizzard,400,433,🔒,🔒,🔒,🔒,,
MCC,401,365,🔒,🔒,🔒,🔒,,
Casino,402,257,🔒,🔒,🔒,🔒,,
KBC,403,393,🔒,🔒,🔒,🔒,,
GMC,404,441,🔒,🔒,🔒,🔒,,
Credit Agricole,405,-,🔒,🔒,🔒,🔒,,
KPN,406,271,🔒,🔒,🔒,🔒,,
UniCredit,407,255,🔒,🔒,🔒,🔒,,
Etisalat,408,326,🔒,🔒,🔒,🔒,,
Virgin Media,409,361,🔒,🔒,🔒,🔒,,
John Deere,410,327,🔒,🔒,🔒,🔒,,
Fujifilm,411,484,🔒,🔒,🔒,🔒,,
Sherwin-Williams,412,359,🔒,🔒,🔒,🔒,,
Omega,413,355,🔒,🔒,🔒,🔒,,
Maersk,414,408,🔒,🔒,🔒,🔒,,
Continental,415,400,🔒,🔒,🔒,🔒,,
Metro,416,315,🔒,🔒,🔒,🔒,,
Sprite,417,370,🔒,🔒,🔒,🔒,,
Colgate,418,428,🔒,🔒,🔒,🔒,,
Subway,419,105,🔒,🔒,🔒,🔒,,
Nomura,420,391,🔒,🔒,🔒,🔒,,
KEPCO,421,389,🔒,🔒,🔒,🔒,,
ABN AMRO Group NV,422,-,🔒,🔒,🔒,🔒,,
Arla,423,362,🔒,🔒,🔒,🔒,,
Jeep,424,-,🔒,🔒,🔒,🔒,,
Caterpillar,425,160,🔒,🔒,🔒,🔒,,
Itau,426,135,🔒,🔒,🔒,🔒,,
Chow Tai Fook,427,325,🔒,🔒,🔒,🔒,,
Doosan Group,428,-,🔒,🔒,🔒,🔒,,
Safeway,429,371,🔒,🔒,🔒,🔒,,
Morrisons,430,284,🔒,🔒,🔒,🔒,,
Southern Company,431,335,🔒,🔒,🔒,🔒,,
Aeon,432,249,🔒,🔒,🔒,🔒,,
Southwest Airlines,433,443,🔒,🔒,🔒,🔒,,
Valero,434,449,🔒,🔒,🔒,🔒,,
NetEase,435,-,🔒,🔒,🔒,🔒,,
Optus,436,-,🔒,🔒,🔒,🔒,,
KB Financial Group,437,342,🔒,🔒,🔒,🔒,,
Polo Ralph Lauren,438,300,🔒,🔒,🔒,🔒,,
Chunghwa,439,498,🔒,🔒,🔒,🔒,,
Posco,440,-,🔒,🔒,🔒,🔒,,
MTS,441,369,🔒,🔒,🔒,🔒,,
Randstad,442,-,🔒,🔒,🔒,🔒,,
Cigna,443,-,🔒,🔒,🔒,🔒,,
Banco do Brasil,444,206,🔒,🔒,🔒,🔒,,
Thermo Fisher Scientific,445,430,🔒,🔒,🔒,🔒,,
Reliance,446,413,🔒,🔒,🔒,🔒,,
Brookfield Asset Management,447,395,🔒,🔒,🔒,🔒,,
CJ Group,448,-,🔒,🔒,🔒,🔒,,
RBS,449,409,🔒,🔒,🔒,🔒,,
Prada,450,296,🔒,🔒,🔒,🔒,,
McLane,451,358,🔒,🔒,🔒,🔒,,
Rolls-Royce,452,306,🔒,🔒,🔒,🔒,,
Edeka,453,-,🔒,🔒,🔒,🔒,,
Clarins,454,435,🔒,🔒,🔒,🔒,,
Qatar Airways,455,-,🔒,🔒,🔒,🔒,,
Wrigley's,456,412,🔒,🔒,🔒,🔒,,
Emerson Electric,457,381,🔒,🔒,🔒,🔒,,
SSE,458,424,🔒,🔒,🔒,🔒,,
Royal Mail,459,431,🔒,🔒,🔒,🔒,,
Charter,460,426,🔒,🔒,🔒,🔒,,
GS Group,461,457,🔒,🔒,🔒,🔒,,
La Poste,462,-,🔒,🔒,🔒,🔒,,
Ecopetrol,463,-,🔒,🔒,🔒,🔒,,
Hyatt,464,-,🔒,🔒,🔒,🔒,,
Electronic Arts,465,-,🔒,🔒,🔒,🔒,,
ABN AMRO,466,453,🔒,🔒,🔒,🔒,,
Mckesson,467,402,🔒,🔒,🔒,🔒,,
China Eastern,468,-,🔒,🔒,🔒,🔒,,
Oxy,469,-,🔒,🔒,🔒,🔒,,
Carmax,470,447,🔒,🔒,🔒,🔒,,
Skol,471,437,🔒,🔒,🔒,🔒,,
ONGC,472,-,🔒,🔒,🔒,🔒,,
TEPCO,473,398,🔒,🔒,🔒,🔒,,
Gold Flake,474,-,🔒,🔒,🔒,🔒,,
The North Face,475,-,🔒,🔒,🔒,🔒,,
Sheraton,476,-,🔒,🔒,🔒,🔒,,
Seagate Technology,477,438,🔒,🔒,🔒,🔒,,
Royal Caribbean International,478,416,🔒,🔒,🔒,🔒,,
DNB,479,463,🔒,🔒,🔒,🔒,,
Chipotle,480,490,🔒,🔒,🔒,🔒,,
TUI,481,414,🔒,🔒,🔒,🔒,,
Denso,482,420,🔒,🔒,🔒,🔒,,
Canadian National Railway,483,479,🔒,🔒,🔒,🔒,,
Cathay Life Insurance Co,484,-,🔒,🔒,🔒,🔒,,
Larsen & Toubro,485,471,🔒,🔒,🔒,🔒,,
Progressive,486,418,🔒,🔒,🔒,🔒,,
Asahi,487,407,🔒,🔒,🔒,🔒,,
Whole Foods,488,356,🔒,🔒,🔒,🔒,,
BG,489,455,🔒,🔒,🔒,🔒,,
Telcel,490,474,🔒,🔒,🔒,🔒,,
Fanta,491,454,🔒,🔒,🔒,🔒,,
Hikvision,492,-,🔒,🔒,🔒,🔒,,
Capita,493,-,🔒,🔒,🔒,🔒,,
