Brand,Position,Previous Position,Brand Value ($M),Previous Brand Value ($M),Rating,Previous Rating,Year,Previous Year
Amazon,1,1,187905.15,150810.92,AAA-,AAA-,,
Apple,2,2,153634.28,146311.06,AAA,AAA+,,
Google,3,3,142754.85,120911.44,AAA,AAA+,,
Microsoft,4,6,119594.99,81162.91,AAA,AAA+,,
Samsung Group,5,4,91282,92288.99,AAA-,AAA+,,
AT&T,6,5,87005.09,82422.22,AA+,AAA-,,
Facebook,7,7,83201.5,76526.39,AAA-,AAA+,,
ICBC,8,10,79822.64,59188.77,AAA+,AAA+,,
Verizon,9,8,71153.96,62825.55,AAA,AAA-,,
China Construction Bank,10,11,69741.75,56788.83,AAA,AAA,,
Walmart,11,9,67866.78,61480.15,AA+,AA+,,
Huawei,12,25,62278.16,38046,AAA-,AAA-,,
Mercedes-Benz,13,13,60355,47936,AAA-,AA+,,
Ping An,14,29,57625.82,32608.69,AAA-,AAA-,,
China Mobile,15,12,55670.36,53225.63,AAA,AAA,,
Agricultural Bank Of China,16,26,55040.17,37320.87,AAA,AAA,,
Toyota,17,15,52291,43701.22,AAA,AAA-,,
State Grid,18,18,51292.05,40944.27,AA+,AA+,,
Bank of China,19,17,50990.26,41749.78,AAA,AAA,,
WeChat,20,47,50707.28,22415.23,AAA+,AAA,,
Tencent (QQ),21,20,49701.06,40774.18,AAA,AAA,,
Home Depot,22,27,47055.96,33747.91,AAA-,AAA-,,
Taobao,23,-,46627.98,-,AAA-,-,,
T (Deutsche Telekom),24,21,46259.32,40152.42,AAA-,AA+,,
Walt Disney,25,30,45749.7,32589.69,AAA,AAA+,,
Shell,26,23,42294.65,39423.4,AAA-,AAA-,,
Volkswagen,27,22,41739.11,39960.02,AA+,AA,,
NTT Group,28,19,41670,40872.18,AA+,AA+,,
BMW,29,16,40501.35,41789.61,AAA,AAA,,
Wells Fargo,30,14,39947.58,44098.04,AA+,AAA-,,
Starbucks,31,32,39267.88,32420.6,AAA,AAA,,
YouTube,32,42,37846.84,25886.82,AAA,AAA,,
PetroChina,33,34,36798.69,31176.74,AAA-,AA+,,
Bank of America,34,28,36686.75,33289.08,AA+,AAA-,,
Tmall,35,-,36430.11,-,AAA-,-,,
