Brand,Position,Previous Position,Brand Value ($M),Previous Brand Value ($M),Rating,Previous Rating,Year,Previous Year
Citi,36,35,36407,30783.03,AA+,AA+,,
Chase,37,24,36265.44,38842.2,AAA-,AAA,,
Coca-Cola,38,37,36187.67,30378.05,AAA+,AAA,,
Marlboro,39,36,33569,30513.43,AA+,AA+,,
IBM,40,31,32853.76,32478.47,AAA-,AAA-,,
Nike,41,39,32420.96,28030.32,AAA,AAA,,
Boeing,42,62,32022.37,19936.39,AAA+,AAA+,,
McDonald's,43,44,31487.05,24872.08,AAA+,AAA+,,
UnitedHealthcare,44,75,30577.36,18613.59,AA,AA,,
Moutai,45,54,30470.29,21242.66,AAA-,AAA-,,
Deloitte,46,57,29632.62,20838.16,AAA+,AAA+,,
Porsche,47,70,29346.9,19055,AAA,AAA,,
UPS,48,52,29299.66,22002.55,AAA-,AAA-,,
Sinopec,49,46,29146.91,23640.28,AAA-,AA,,
Intel,50,51,29113.13,22059.15,AAA+,AAA,,
General Electric,51,33,28263,32004.58,AAA-,AAA,,
Visa,52,58,27680.49,20650.7,AAA,AAA+,,
American Express,53,97,27461.91,15103.28,AAA-,AA,,
Xfinity,54,41,27098.03,26121.41,AA,AA+,,
Sumitomo Group,55,139,26694,11082.87,A+,A,,
China Life,56,-,26636.96,-,AAA,-,,
Mitsubishi Group,57,43,26376,25279.97,A+,AA-,,
Accenture,58,87,26292.38,16804.77,AAA,AA+,,
SK Group,59,115,26096,13364.68,AA-,AA,,
Honda,60,50,25744,22132.29,AA+,AAA-,,
CSCEC,61,40,25672.9,26411.08,AA-,AA,,
Oracle,62,38,25276.92,29633.57,AA,AA,,
Total,63,56,25189.26,20971.24,AA+,AAA-,,
PWC,64,48,24892.52,22287.1,AAA+,AAA+,,
FedEx,65,78,24231.95,18169.57,AA+,AA+,,
Lowe's,66,95,23937.52,16024.18,AAA-,AAA-,,
EY,67,84,23221.93,17130.49,AAA+,AAA+,,
Allianz,68,60,23105.15,20229.12,AA+,AAA-,,
Bosch,69,69,22941.42,19341.27,AAA-,AA+,,
Dell Technologies,70,92,22859.63,16355.65,AA+,AA-,,
BP,71,64,22675.41,19609.7,AA-,AA+,,
Uber,72,90,22507.67,16629.33,AA-,AA,,
China Merchants Bank,73,89,22480.13,16673.21,AAA-,AAA-,,
Cisco,74,65,21775.54,19411.21,AA+,AA+,,
Siemens,75,53,21606.56,21956,AAA-,AAA,,
IKEA,76,66,21531.15,19387.51,AAA-,AA+,,
Vodafone,77,74,21322.37,18743.89,AA+,AA+,,
CVS Health,78,59,21253.88,20603.24,AA+,AA+,,
NETFLIX,79,148,21161.77,10323.44,AAA-,AA+,,
Mitsui Conglomerate,80,186,21015,8473.89,A+,A-,,
Orange,81,49,21005.35,22206.27,AA+,AAA-,,
Hyundai Group,82,80,20721.47,17754.48,AA-,AA-,,
China Telecom,83,45,20635.61,23979.18,AAA-,AA+,,
Evergrande,84,93,20444.29,16228.64,AA+,AA+,,
HSBC,85,76,20188.77,18305.44,AA-,AA,,
JP Morgan,86,82,19796.85,17651.08,AA,AA+,,
Nestle,87,68,19644.12,19369.76,AAA-,AAA-,,
Audi,88,98,19638.44,14950.8,AAA-,AAA-,,
Tata Group,89,105,19559.49,14235.82,AA+,AA+,,
Baidu,90,55,19476.05,21046.47,AAA-,AAA,,
SoftBank,91,73,19295.05,18927.75,AA+,AA+,,
Ford,92,77,18772,18172,AA+,AAA-,,
Nissan,93,67,18752.66,19375.7,AA,AA+,,
Pepsi,94,61,18519.55,20034.71,AAA,AAA,,
LG Group,95,88,18486.09,16796.31,AA,AA+,,
Zara,96,83,18423.62,17452.62,AAA,AAA,,
Mastercard,97,118,18292.76,12673.98,AAA-,AAA-,,
au,98,91,17623.17,16625.74,AAA-,AA+,,
Santander,99,94,17449.02,16200.05,AA+,AA,,
RBC,100,107,17398.95,13827.04,AAA-,AAA-,,
Costco,101,125,🔒,🔒,🔒,🔒,,
Chevron,102,79,🔒,🔒,🔒,🔒,,
Instagram,103,-,🔒,🔒,🔒,🔒,,
Adidas,104,104,🔒,🔒,🔒,🔒,,
Country Garden,105,131,🔒,🔒,🔒,🔒,,
Target,106,110,🔒,🔒,🔒,🔒,,
Wuliangye,107,101,🔒,🔒,🔒,🔒,,
Fox,108,86,🔒,🔒,🔒,🔒,,
Walgreens,109,96,🔒,🔒,🔒,🔒,,
H&M,110,72,🔒,🔒,🔒,🔒,,
Universal,111,126,🔒,🔒,🔒,🔒,,
AXA,112,117,🔒,🔒,🔒,🔒,,
SAP,113,85,🔒,🔒,🔒,🔒,,
AIA,114,149,🔒,🔒,🔒,🔒,,
Spectrum,115,114,🔒,🔒,🔒,🔒,,
CRCC,116,124,🔒,🔒,🔒,🔒,,
BNP Paribas,117,109,🔒,🔒,🔒,🔒,,
Gucci,118,183,🔒,🔒,🔒,🔒,,
Alibaba,119,163,🔒,🔒,🔒,🔒,,
Bank of Communications,120,106,🔒,🔒,🔒,🔒,,
Capital One,121,137,🔒,🔒,🔒,🔒,,
NBC,122,99,🔒,🔒,🔒,🔒,,
Volvo,123,119,🔒,🔒,🔒,🔒,,
TD,124,120,🔒,🔒,🔒,🔒,,
Hitachi,125,-,🔒,🔒,🔒,🔒,,
Cartier,126,159,🔒,🔒,🔒,🔒,,
Louis Vuitton,127,145,🔒,🔒,🔒,🔒,,
Anthem,128,156,🔒,🔒,🔒,🔒,,
KFC,129,206,🔒,🔒,🔒,🔒,,
Petronas,130,133,🔒,🔒,🔒,🔒,,
CHEVROLET,131,113,🔒,🔒,🔒,🔒,,
ExxonMobil,132,116,🔒,🔒,🔒,🔒,,
Shanghai Pudong Development Bank,133,100,🔒,🔒,🔒,🔒,,
Warner Bros.,134,154,🔒,🔒,🔒,🔒,,
Paypal,135,172,🔒,🔒,🔒,🔒,,
Airbus,136,140,🔒,🔒,🔒,🔒,,
KPMG,137,121,🔒,🔒,🔒,🔒,,
China CITIC Bank,138,150,🔒,🔒,🔒,🔒,,
Optum,139,188,🔒,🔒,🔒,🔒,,
Midea,140,246,🔒,🔒,🔒,🔒,,
Sberbank,141,130,🔒,🔒,🔒,🔒,,
Johnson & Johnson,142,173,🔒,🔒,🔒,🔒,,
Sony,143,127,🔒,🔒,🔒,🔒,,
NetEase,144,123,🔒,🔒,🔒,🔒,,
EDF,145,158,🔒,🔒,🔒,🔒,,
Panasonic,146,171,🔒,🔒,🔒,🔒,,
booking.com,147,168,🔒,🔒,🔒,🔒,,
Uniqlo,148,203,🔒,🔒,🔒,🔒,,
Industrial Bank,149,128,🔒,🔒,🔒,🔒,,
CRECG,150,151,🔒,🔒,🔒,🔒,,
Barclays,151,112,🔒,🔒,🔒,🔒,,
Chanel,152,300,🔒,🔒,🔒,🔒,,
JR,153,138,🔒,🔒,🔒,🔒,,
JD.com,154,63,🔒,🔒,🔒,🔒,,
ING,155,160,🔒,🔒,🔒,🔒,,
MUFG,156,102,🔒,🔒,🔒,🔒,,
Tesco,157,157,🔒,🔒,🔒,🔒,,
Scotiabank,158,152,🔒,🔒,🔒,🔒,,
Renault,159,111,🔒,🔒,🔒,🔒,,
DHL,160,142,🔒,🔒,🔒,🔒,,
CBS,161,146,🔒,🔒,🔒,🔒,,
Postal Savings Bank,162,-,🔒,🔒,🔒,🔒,,
Lockheed Martin,163,193,🔒,🔒,🔒,🔒,,
Vanke,164,237,🔒,🔒,🔒,🔒,,
Herme's,165,164,🔒,🔒,🔒,🔒,,
Aetna,166,165,🔒,🔒,🔒,🔒,,
Greenland,167,-,🔒,🔒,🔒,🔒,,
BBVA,168,132,🔒,🔒,🔒,🔒,,
CPIC,169,178,🔒,🔒,🔒,🔒,,
Eni,170,144,🔒,🔒,🔒,🔒,,
Movistar,171,136,🔒,🔒,🔒,🔒,,
Canon,172,153,🔒,🔒,🔒,🔒,,
UBS,173,176,🔒,🔒,🔒,🔒,,
Telstra,174,122,🔒,🔒,🔒,🔒,,
Goldman Sachs,175,166,🔒,🔒,🔒,🔒,,
Aldi,176,167,🔒,🔒,🔒,🔒,,
Sky,177,155,🔒,🔒,🔒,🔒,,
L'Oreal,178,162,🔒,🔒,🔒,🔒,,
Engie,179,191,🔒,🔒,🔒,🔒,,
Enel,180,182,🔒,🔒,🔒,🔒,,
Humana,181,174,🔒,🔒,🔒,🔒,,
China Unicom,182,135,🔒,🔒,🔒,🔒,,
Sam's Club,183,226,🔒,🔒,🔒,🔒,,
BMO,184,199,🔒,🔒,🔒,🔒,,
Delta,185,179,🔒,🔒,🔒,🔒,,
7-Eleven,186,189,🔒,🔒,🔒,🔒,,
HP,187,177,🔒,🔒,🔒,🔒,,
Nokia,188,190,🔒,🔒,🔒,🔒,,
U.S. Bank,189,220,🔒,🔒,🔒,🔒,,
Lexus,190,161,🔒,🔒,🔒,🔒,,
Medtronic,191,209,🔒,🔒,🔒,🔒,,
American Airlines,192,170,🔒,🔒,🔒,🔒,,
Carrefour,193,143,🔒,🔒,🔒,🔒,,
China Minsheng Bank,194,184,🔒,🔒,🔒,🔒,,
Sephora,195,-,🔒,🔒,🔒,🔒,,
Union Pacific,196,211,🔒,🔒,🔒,🔒,,
Japan Post Holdings,197,-,🔒,🔒,🔒,🔒,,
Equinor,198,198,🔒,🔒,🔒,🔒,,
PICC,199,233,🔒,🔒,🔒,🔒,,
TSMC,200,214,🔒,🔒,🔒,🔒,,
Yanghe,201,216,🔒,🔒,🔒,🔒,,
Land Rover,202,129,🔒,🔒,🔒,🔒,,
Morgan Stanley,203,215,🔒,🔒,🔒,🔒,,
DBS,204,265,🔒,🔒,🔒,🔒,,
Pemex,205,230,🔒,🔒,🔒,🔒,,
eBay,206,201,🔒,🔒,🔒,🔒,,
Lidl,207,185,🔒,🔒,🔒,🔒,,
ADNOC,208,-,🔒,🔒,🔒,🔒,,
GEICO,209,260,🔒,🔒,🔒,🔒,,
3M,210,187,🔒,🔒,🔒,🔒,,
Valero,211,239,🔒,🔒,🔒,🔒,,
TIM,212,180,🔒,🔒,🔒,🔒,,
Cognizant,213,217,🔒,🔒,🔒,🔒,,
Adobe,214,197,🔒,🔒,🔒,🔒,,
Hikvision,215,416,🔒,🔒,🔒,🔒,,
PNC,216,276,🔒,🔒,🔒,🔒,,
United Airlines,217,244,🔒,🔒,🔒,🔒,,
ABB,218,196,🔒,🔒,🔒,🔒,,
ESPN,219,332,🔒,🔒,🔒,🔒,,
Ferrari,220,262,🔒,🔒,🔒,🔒,,
Yahoo! Group,221,232,🔒,🔒,🔒,🔒,,
Broadcom,222,301,🔒,🔒,🔒,🔒,,
BT,223,134,🔒,🔒,🔒,🔒,,
Etisalat,224,218,🔒,🔒,🔒,🔒,,
Rabobank,225,310,🔒,🔒,🔒,🔒,,
BASF,226,228,🔒,🔒,🔒,🔒,,
Honeywell,227,242,🔒,🔒,🔒,🔒,,
Airbnb,228,319,🔒,🔒,🔒,🔒,,
Zurich,229,234,🔒,🔒,🔒,🔒,,
Poly  Development,230,324,🔒,🔒,🔒,🔒,,
Corona,231,-,🔒,🔒,🔒,🔒,,
Philips,232,175,🔒,🔒,🔒,🔒,,
Longfor Properties,233,378,🔒,🔒,🔒,🔒,,
Purina,234,307,🔒,🔒,🔒,🔒,,
Cigna,235,247,🔒,🔒,🔒,🔒,,
3,236,231,🔒,🔒,🔒,🔒,,
Danone,237,169,🔒,🔒,🔒,🔒,,
Gillette,238,224,🔒,🔒,🔒,🔒,,
Salesforce,239,320,🔒,🔒,🔒,🔒,,
Gazprom,240,318,🔒,🔒,🔒,🔒,,
Youku,241,-,🔒,🔒,🔒,🔒,,
Woolworths,242,236,🔒,🔒,🔒,🔒,,
Rolex,243,277,🔒,🔒,🔒,🔒,,
Hilton,244,280,🔒,🔒,🔒,🔒,,
Allstate,245,221,🔒,🔒,🔒,🔒,,
CRRC,246,256,🔒,🔒,🔒,🔒,,
CIBC,247,238,🔒,🔒,🔒,🔒,,
Bell,248,141,🔒,🔒,🔒,🔒,,
Metlife,249,202,🔒,🔒,🔒,🔒,,
Gree,250,455,🔒,🔒,🔒,🔒,,
Subway,251,204,🔒,🔒,🔒,🔒,,
Vinci,252,235,🔒,🔒,🔒,🔒,,
Subaru,253,205,🔒,🔒,🔒,🔒,,
NatWest,254,266,🔒,🔒,🔒,🔒,,
HPE,255,192,🔒,🔒,🔒,🔒,,
Yili,256,286,🔒,🔒,🔒,🔒,,
China Everbright Bank,257,275,🔒,🔒,🔒,🔒,,
Northrop Grumman,258,403,🔒,🔒,🔒,🔒,,
Commonwealth Bank,259,194,🔒,🔒,🔒,🔒,,
Caterpillar,260,342,🔒,🔒,🔒,🔒,,
Coach,261,283,🔒,🔒,🔒,🔒,,
Progressive,262,388,🔒,🔒,🔒,🔒,,
Marubeni,263,284,🔒,🔒,🔒,🔒,,
Tesla,264,311,🔒,🔒,🔒,🔒,,
Budweiser,265,240,🔒,🔒,🔒,🔒,,
Credit Suisse,266,253,🔒,🔒,🔒,🔒,,
Red Bull,267,222,🔒,🔒,🔒,🔒,,
Qualcomm,268,250,🔒,🔒,🔒,🔒,,
Publix,269,264,🔒,🔒,🔒,🔒,,
Prudential (US),270,274,🔒,🔒,🔒,🔒,,
Nintendo,271,213,🔒,🔒,🔒,🔒,,
O2,272,181,🔒,🔒,🔒,🔒,,
Activision Blizzard,273,281,🔒,🔒,🔒,🔒,,
Tyson,274,313,🔒,🔒,🔒,🔒,,
Societa Generale,275,200,🔒,🔒,🔒,🔒,,
LIC,276,295,🔒,🔒,🔒,🔒,,
Sprint,277,227,🔒,🔒,🔒,🔒,,
Michelin,278,208,🔒,🔒,🔒,🔒,,
T.J. Maxx,279,299,🔒,🔒,🔒,🔒,,
Schlumberger,280,267,🔒,🔒,🔒,🔒,,
Poste Italiane,281,371,🔒,🔒,🔒,🔒,,
Generali Group,282,268,🔒,🔒,🔒,🔒,,
STC,283,255,🔒,🔒,🔒,🔒,,
MCC,284,305,🔒,🔒,🔒,🔒,,
Sunac,285,-,🔒,🔒,🔒,🔒,,
Fresenius,286,269,🔒,🔒,🔒,🔒,,
Bud Light,287,229,🔒,🔒,🔒,🔒,,
Bridgestone,288,245,🔒,🔒,🔒,🔒,,
Victoria's Secret,289,285,🔒,🔒,🔒,🔒,,
Roche,290,271,🔒,🔒,🔒,🔒,,
Xiaomi,291,258,🔒,🔒,🔒,🔒,,
Telus,292,219,🔒,🔒,🔒,🔒,,
NIVEA,293,270,🔒,🔒,🔒,🔒,,
CHINA OVERSEAS LAND & INVESTMENT,294,-,🔒,🔒,🔒,🔒,,
Ross Dress For Less,295,348,🔒,🔒,🔒,🔒,,
Dow,296,261,🔒,🔒,🔒,🔒,,
Itau,297,207,🔒,🔒,🔒,🔒,,
Brookfield,298,252,🔒,🔒,🔒,🔒,,
Heineken,299,288,🔒,🔒,🔒,🔒,,
Enterprise,300,330,🔒,🔒,🔒,🔒,,
Lloyds Bank,301,273,🔒,🔒,🔒,🔒,,
KEPCO,302,354,🔒,🔒,🔒,🔒,,
Lego,303,223,🔒,🔒,🔒,🔒,,
Nvidia,304,465,🔒,🔒,🔒,🔒,,
Kellogg's,305,327,🔒,🔒,🔒,🔒,,
Pampers,306,279,🔒,🔒,🔒,🔒,,
BNSF,307,326,🔒,🔒,🔒,🔒,,
Aviva,308,360,🔒,🔒,🔒,🔒,,
L&M,309,293,🔒,🔒,🔒,🔒,,
Rogers,310,210,🔒,🔒,🔒,🔒,,
Southwest Airlines,311,336,🔒,🔒,🔒,🔒,,
ANZ,312,195,🔒,🔒,🔒,🔒,,
Dollar General,313,321,🔒,🔒,🔒,🔒,,
Haier,314,375,🔒,🔒,🔒,🔒,,
Infosys,315,290,🔒,🔒,🔒,🔒,,
Bouygues,316,309,🔒,🔒,🔒,🔒,,
China Resources Land,317,471,🔒,🔒,🔒,🔒,,
Centurylink,318,241,🔒,🔒,🔒,🔒,,
Domino's Pizza,319,370,🔒,🔒,🔒,🔒,,
ADP,320,389,🔒,🔒,🔒,🔒,,
Playstation,321,296,🔒,🔒,🔒,🔒,,
Prudential (UK),322,407,🔒,🔒,🔒,🔒,,
John Deere,323,393,🔒,🔒,🔒,🔒,,
Merrill Lynch,324,297,🔒,🔒,🔒,🔒,,
Reliance,325,450,🔒,🔒,🔒,🔒,,
Dior,326,451,🔒,🔒,🔒,🔒,,
HCA,327,-,🔒,🔒,🔒,🔒,,
Safran,328,420,🔒,🔒,🔒,🔒,,
Emirates,329,333,🔒,🔒,🔒,🔒,,
nab,330,263,🔒,🔒,🔒,🔒,,
Bayer,331,317,🔒,🔒,🔒,🔒,,
Discover,332,401,🔒,🔒,🔒,🔒,,
ABC,333,147,🔒,🔒,🔒,🔒,,
20th Century Fox,334,352,🔒,🔒,🔒,🔒,,
LinkedIn,335,427,🔒,🔒,🔒,🔒,,
Mizuho Financial Group,336,308,🔒,🔒,🔒,🔒,,
Bradesco,337,316,🔒,🔒,🔒,🔒,,
suning.com,338,413,🔒,🔒,🔒,🔒,,
General Dynamics,339,386,🔒,🔒,🔒,🔒,,
Lenovo,340,444,🔒,🔒,🔒,🔒,,
Geely Auto,341,294,🔒,🔒,🔒,🔒,,
McKinsey,342,357,🔒,🔒,🔒,🔒,,
Swisscom,343,282,🔒,🔒,🔒,🔒,,
State Bank of India,344,338,🔒,🔒,🔒,🔒,,
BHP,345,349,🔒,🔒,🔒,🔒,,
Nescafe,346,334,🔒,🔒,🔒,🔒,,
Claro,347,289,🔒,🔒,🔒,🔒,,
Chubb,348,350,🔒,🔒,🔒,🔒,,
Capgemini,349,399,🔒,🔒,🔒,🔒,,
Credit Agricole,350,306,🔒,🔒,🔒,🔒,,
Tiffany & Co.,351,382,🔒,🔒,🔒,🔒,,
Thermo Fisher Scientific,352,377,🔒,🔒,🔒,🔒,,
Saint-Gobain,353,331,🔒,🔒,🔒,🔒,,
SFR,354,304,🔒,🔒,🔒,🔒,,
Sainsbury's,355,328,🔒,🔒,🔒,🔒,,
Lukoil,356,368,🔒,🔒,🔒,🔒,,
Daiwa House,357,302,🔒,🔒,🔒,🔒,,
Sysco,358,363,🔒,🔒,🔒,🔒,,
PTT,359,362,🔒,🔒,🔒,🔒,,
Telenor,360,249,🔒,🔒,🔒,🔒,,
El Corte Ingles,361,439,🔒,🔒,🔒,🔒,,
Pall Mall,362,292,🔒,🔒,🔒,🔒,,
UOB,363,490,🔒,🔒,🔒,🔒,,
OCBC Bank,364,453,🔒,🔒,🔒,🔒,,
Nordea,365,278,🔒,🔒,🔒,🔒,,
Chunghwa,366,322,🔒,🔒,🔒,🔒,,
Kroger,367,343,🔒,🔒,🔒,🔒,,
Asda,368,272,🔒,🔒,🔒,🔒,,
Western Digital,369,225,🔒,🔒,🔒,🔒,,
CNOOC,370,341,🔒,🔒,🔒,🔒,,
Standard Chartered,371,314,🔒,🔒,🔒,🔒,,
DXC Technology,372,291,🔒,🔒,🔒,🔒,,
Travelers,373,312,🔒,🔒,🔒,🔒,,
Tim Hortons,374,356,🔒,🔒,🔒,🔒,,
BUICK,375,-,🔒,🔒,🔒,🔒,,
McLane,376,366,🔒,🔒,🔒,🔒,,
Sprite,377,411,🔒,🔒,🔒,🔒,,
Nippon Life Insurance,378,243,🔒,🔒,🔒,🔒,,
Raytheon,379,-,🔒,🔒,🔒,🔒,,
Intesa Sanpaolo,380,346,🔒,🔒,🔒,🔒,,
Swiss Re,381,397,🔒,🔒,🔒,🔒,,
Coles,382,259,🔒,🔒,🔒,🔒,,
Carmax,383,452,🔒,🔒,🔒,🔒,,
Emerson Electric,384,436,🔒,🔒,🔒,🔒,,
Macy's,385,364,🔒,🔒,🔒,🔒,,
CLINIQUE,386,353,🔒,🔒,🔒,🔒,,
Luzhou Laojiao,387,480,🔒,🔒,🔒,🔒,,
Innogy,388,445,🔒,🔒,🔒,🔒,,
Pizza Hut,389,-,🔒,🔒,🔒,🔒,,
Circle K,390,-,🔒,🔒,🔒,🔒,,
AutoZone,391,441,🔒,🔒,🔒,🔒,,
Micron Technology,392,449,🔒,🔒,🔒,🔒,,
E.Leclerc,393,385,🔒,🔒,🔒,🔒,,
SHISEIDO,394,434,🔒,🔒,🔒,🔒,,
Westpac,395,303,🔒,🔒,🔒,🔒,,
Texas Instruments,396,406,🔒,🔒,🔒,🔒,,
Mahindra Group,397,469,🔒,🔒,🔒,🔒,,
Deutsche Post,398,425,🔒,🔒,🔒,🔒,,
Kohl's,399,435,🔒,🔒,🔒,🔒,,
HBO,400,429,🔒,🔒,🔒,🔒,,
Dalian Wanda,401,212,🔒,🔒,🔒,🔒,,
Harbin,402,-,🔒,🔒,🔒,🔒,,
Phillips 66,403,351,🔒,🔒,🔒,🔒,,
BBC,404,315,🔒,🔒,🔒,🔒,,
Guerlain,405,335,🔒,🔒,🔒,🔒,,
Pantene,406,355,🔒,🔒,🔒,🔒,,
QNB,407,430,🔒,🔒,🔒,🔒,,
Marriot,408,325,🔒,🔒,🔒,🔒,,
Suzuki,409,424,🔒,🔒,🔒,🔒,,
ConocoPhillips,410,391,🔒,🔒,🔒,🔒,,
ctrip.com,411,-,🔒,🔒,🔒,🔒,,
Mengniu,412,-,🔒,🔒,🔒,🔒,,
Discovery,413,-,🔒,🔒,🔒,🔒,,
Estee Lauder,414,408,🔒,🔒,🔒,🔒,,
Victoria,415,-,🔒,🔒,🔒,🔒,,
CNBM,416,-,🔒,🔒,🔒,🔒,,
Tokio Marine Holdings,417,-,🔒,🔒,🔒,🔒,,
Fubon Financial,418,-,🔒,🔒,🔒,🔒,,
Sherwin-Williams,419,418,🔒,🔒,🔒,🔒,,
AIG,420,329,🔒,🔒,🔒,🔒,,
HDFC Bank,421,-,🔒,🔒,🔒,🔒,,
Sodexo,422,405,🔒,🔒,🔒,🔒,,
Mobil,423,340,🔒,🔒,🔒,🔒,,
VMWARE,424,494,🔒,🔒,🔒,🔒,,
Galaxy Macau,425,-,🔒,🔒,🔒,🔒,,
Airtel,426,254,🔒,🔒,🔒,🔒,,
Las Vegas Sands Corporation,427,-,🔒,🔒,🔒,🔒,,
Pfizer,428,442,🔒,🔒,🔒,🔒,,
Wrigley's,429,373,🔒,🔒,🔒,🔒,,
Applied Materials,430,485,🔒,🔒,🔒,🔒,,
Telia,431,423,🔒,🔒,🔒,🔒,,
Lay's,432,-,🔒,🔒,🔒,🔒,,
Centene Corporation,433,483,🔒,🔒,🔒,🔒,,
Burberry,434,394,🔒,🔒,🔒,🔒,,
McCain,435,492,🔒,🔒,🔒,🔒,,
Huggies,436,359,🔒,🔒,🔒,🔒,,
BAE Systems,437,-,🔒,🔒,🔒,🔒,,
HCL,438,395,🔒,🔒,🔒,🔒,,
Johnnie Walker,439,422,🔒,🔒,🔒,🔒,,
Nordstrom,440,426,🔒,🔒,🔒,🔒,,
Petrobras,441,347,🔒,🔒,🔒,🔒,,
Cathay Life Insurance Co,442,467,🔒,🔒,🔒,🔒,,
CSX,443,456,🔒,🔒,🔒,🔒,,
Dunkin',444,-,🔒,🔒,🔒,🔒,,
Esso,445,379,🔒,🔒,🔒,🔒,,
Credit Mutuel,446,421,🔒,🔒,🔒,🔒,,
Telkom Indonesia,447,345,🔒,🔒,🔒,🔒,,
CN,448,412,🔒,🔒,🔒,🔒,,
CJ Group,449,446,🔒,🔒,🔒,🔒,,
ABN AMRO,450,489,🔒,🔒,🔒,🔒,,
Chow Tai Fook,451,358,🔒,🔒,🔒,🔒,,
CNRL,452,409,🔒,🔒,🔒,🔒,,
Genting,453,-,🔒,🔒,🔒,🔒,,
Kraft,454,365,🔒,🔒,🔒,🔒,,
Aflac,455,460,🔒,🔒,🔒,🔒,,
Prada,456,477,🔒,🔒,🔒,🔒,,
Dove,457,369,🔒,🔒,🔒,🔒,,
CFLD,458,-,🔒,🔒,🔒,🔒,,
China Southern,459,447,🔒,🔒,🔒,🔒,,
Maersk,460,-,🔒,🔒,🔒,🔒,,
Abbott,461,-,🔒,🔒,🔒,🔒,,
KBC,462,431,🔒,🔒,🔒,🔒,,
SSE,463,-,🔒,🔒,🔒,🔒,,
The North Face,464,-,🔒,🔒,🔒,🔒,,
CCCC,465,400,🔒,🔒,🔒,🔒,,
Garnier,466,384,🔒,🔒,🔒,🔒,,
United Technologies,467,-,🔒,🔒,🔒,🔒,,
Doosan Group,468,438,🔒,🔒,🔒,🔒,,
Omega,469,-,🔒,🔒,🔒,🔒,,
Polo Ralph Lauren,470,459,🔒,🔒,🔒,🔒,,
Repsol,471,448,🔒,🔒,🔒,🔒,,
Cummins,472,440,🔒,🔒,🔒,🔒,,
Ferguson,473,414,🔒,🔒,🔒,🔒,,
Thales,474,-,🔒,🔒,🔒,🔒,,
CaixaBank,475,-,🔒,🔒,🔒,🔒,,
Jack Daniel's,476,-,🔒,🔒,🔒,🔒,,
La Poste,477,496,🔒,🔒,🔒,🔒,,
Shinhan Financial Group,478,-,🔒,🔒,🔒,🔒,,
ArcelorMittal,479,-,🔒,🔒,🔒,🔒,,
BB&T,480,-,🔒,🔒,🔒,🔒,,
Banco do Brasil,481,437,🔒,🔒,🔒,🔒,,
Viettel Telecom,482,-,🔒,🔒,🔒,🔒,,
Lotte Group,483,415,🔒,🔒,🔒,🔒,,
Randstad,484,372,🔒,🔒,🔒,🔒,,
Deutsche Bank,485,287,🔒,🔒,🔒,🔒,,
Carrier,486,-,🔒,🔒,🔒,🔒,,
iQiyi,487,-,🔒,🔒,🔒,🔒,,
Clarins,488,433,🔒,🔒,🔒,🔒,,
CNP Assurances,489,-,🔒,🔒,🔒,🔒,,
Tide,490,-,🔒,🔒,🔒,🔒,,
