Brand,Position,Previous Position,Brand Value ($M),Previous Brand Value ($M),Rating,Previous Rating,Year,Previous Year
Apple,1,1,87304.4,70605.16,AAA,AAA+,,
Samsung Group,2,6,58771,38197,AAA,AAA-,,
Google,3,2,52132.3,47462.77,AAA+,AAA+,,
Microsoft,4,3,45534.9,45811.99,AAA-,AAA+,,
Walmart,5,5,42302.9,38319.5,AA+,AA,,
IBM,6,4,37720.6,39135.21,AA+,AA+,,
GE,7,7,37161.2,33214.19,AA,AA+,,
Amazon.com,8,10,36788,28664.84,AAA-,AA+,,
Coca-Cola,9,8,34204.63,31082.03,AAA+,AAA+,,
Verizon,10,12,30728.7,27616.18,AA+,AA,,
AT&T,11,11,30406.5,28379.39,AA+,AA+,,
Shell,12,19,29310,22021.49,AAA-,AAA-,,
Vodafone,13,9,27008.94,30044.05,AAA,AAA+,,
Wells Fargo,14,16,26043.6,23229.19,AA+,AA+,,
Toyota,15,15,25979.24,24460.72,AA+,AA,,
Volkswagen,16,35,23665.82,17757.81,AAA-,AA,,
The Home Depot,17,23,23423.4,20902.11,AA-,AA-,,
Chase,18,28,23408.3,18963.79,AAA-,AA+,,
China Mobile,19,34,23296.1,17919.33,AA,AA,,
BMW,20,22,23235.65,21261.53,AAA,AAA-,,
HSBC,21,13,22864.55,27597.21,AAA-,AAA,,
Bank of America,22,17,22397.3,22910,AA+,AA+,,
Citi,23,29,21676.6,18638.56,AA+,AA+,,
McDonald's,24,18,21641.5,22230.04,AAA-,AAA,,
Intel,25,20,21138.5,21907.61,AA+,AA+,,
Disney,26,49,20547.9,15391.85,AAA,AAA,,
Mercedes-Benz,27,26,20298.09,19761.79,AAA-,AAA-,,
Santander,28,25,20118.9,19969.17,AAA-,AAA-,,
Hyundai,29,109,19906,8326,AA+,AA+,,
ICBC,30,53,19819.73,15163.78,AA+,AA+,,
Siemens,31,45,19647.43,16320.45,AAA-,AA+,,
Ford,32,36,19623.1,17559.28,AA+,AA+,,
American Express,33,32,19004.3,18230.89,AAA-,AAA-,,
Pepsi,34,38,18701.1,17096.31,AAA-,AAA-,,
BNP Paribas,35,40,18572.99,16808.67,AAA-,AA+,,
Tata,36,44,18169,16342.94,AAA-,AAA-,,
Nestle,37,358,18075.2,3143.63,AA+,AA,,
Tesco,38,24,17918.49,20050.61,AAA-,AAA-,,
Chevron,39,37,17674,17510.51,AA+,AA+,,
Nissan,40,58,17646.46,14167.27,AA+,AA-,,
Target,41,50,17460.1,15267.02,AAA-,AA,,
China Construction Bank,42,47,16948.66,15464.06,AA,AA,,
ExxonMobil,43,42,16907.1,16418.69,AA,AAA-,,
GDF Suez,44,41,16686.05,16597.75,AA+,AA,,
Hitachi Group,45,-,16588,-,AA-,-,,
UPS,46,33,16571.9,18082.54,AA,AA+,,
IKEA,47,51,16569.81,15210.9,AA,AA-,,
PWC,48,56,16374.62,14296.39,AAA+,AAA+,,
Orange,49,31,16341.77,18556.99,AA+,AA+,,
