Brand,Position,Previous Position,Brand Value ($M),Previous Brand Value ($M),Rating,Previous Rating,Year,Previous Year
Honda,50,54,16113.81,14963.19,AA+,AA,,
HP,51,21,16112.7,21706.99,A+,AA+,,
Oracle,52,39,16047,17031.04,AA-,AA+,,
Agricultural Bank of China,53,83,15966.61,9929.25,AA-,A+,,
Philip Morris International,54,-,15964,-,AAA-,-,,
Cisco,55,65,15468.3,12865.33,AAA-,AAA-,,
AXA,56,60,15030.92,13406.48,AA,AA-,,
Nike,57,30,14942.5,18619.39,AAA,AAA,,
Toshiba,58,57,14714.71,14185.21,AA,AA-,,
Deutsche Bank,59,64,14572.48,12905.52,AAA-,AA+,,
NTT Group,60,-,14273,-,AA,-,,
Sberbank,61,77,14159.6,10772.28,AA+,AA+,,
Bank of China,62,66,14145.07,12857.41,AA+,AA-,,
J.P. Morgan,63,72,13775.1,11602.32,AA+,AA+,,
Bradesco,64,46,13610.05,15692.18,AAA-,AAA-,,
Sinopec,65,114,13517.54,8126.94,A+,A-,,
Barclays,66,59,13435.63,13551.79,AA,AA+,,
Total,67,63,13310.9,12968.13,AA-,AA-,,
CVS,68,89,13135.7,9421.2,AA,AA-,,
PetroChina,69,80,12994.22,10491.34,AA,AA,,
Deloitte,70,88,12811.66,9660.29,AAA-,AAA-,,
ING (Group),71,61,12787,13256,AA,AA,,
Comcast,72,67,12765.2,12472.55,AA+,AA+,,
Allianz,73,76,12657.05,10950.58,AA+,AA,,
Sam's Club,74,74,12466.2,11517.26,AA+,AA-,,
Itau,75,62,12442.18,13171.03,AA+,AA,,
Walgreens,76,73,12330,11563.82,AA-,AA-,,
BP,77,81,11939.7,10222.25,A+,A,,
MUFG,78,110,11595.9,8314.51,AA,AA-,,
3M,79,78,11471.8,10716.52,AA,AA+,,
NTT docomo,80,-,11327.57,-,AAA-,-,,
Porsche,81,-,11241.4,-,AAA,-,,
Movistar,82,55,11135,14412.43,AAA-,AAA-,,
KPMG,83,79,10986,10555.49,AAA-,AAA-,,
eBay,84,97,10892.8,8959.1,AAA-,AAA,,
FedEx,85,82,10571.6,10072.2,AA,AA+,,
SAP,86,95,10510.65,9041.58,AA+,AAA-,,
TD,87,106,10400.77,8498.54,AAA,AA-,,
RBC,88,102,10276.71,8646.8,AAA-,AA+,,
Generali,89,75,10183.2,11167.7,AA,AA,,
EY,90,105,10052.45,8537.78,AAA-,AAA-,,
China Telecom,91,127,9973.63,7356.94,AA-,AA-,,
Banco do Brasil,92,132,9883.37,7264.48,AAA-,AA,,
SoftBank,93,138,9869.09,6840.75,AA-,A+,,
Credit Suisse,94,108,9820.37,8368.45,AA+,AA+,,
Mitsubishi Corporation,95,27,9688.58,19488.09,AA-,AA,,
Lowe's,96,98,9612.02,8882.22,AA,AA-,,
Sony,97,68,9597.11,12358.35,AA,AA+,,
Panasonic,98,93,9589.04,9233.14,AA-,AA-,,
China Unicom,99,118,9507.49,7943.99,A+,A+,,
TIM,100,120,9356.45,7859.38,AA,AA+,,
Caterpillar,101,111,🔒,🔒,🔒,🔒,,
H&M,102,104,🔒,🔒,🔒,🔒,,
Boeing,103,96,🔒,🔒,🔒,🔒,,
Time Warner Cable,104,94,🔒,🔒,🔒,🔒,,
China Life Insurance Company,105,103,🔒,🔒,🔒,🔒,,
China Life,106,-,🔒,🔒,🔒,🔒,,
DHL,107,113,🔒,🔒,🔒,🔒,,
Accenture,108,137,🔒,🔒,🔒,🔒,,
BT,109,85,🔒,🔒,🔒,🔒,,
TimeWarner,110,107,🔒,🔒,🔒,🔒,,
Bosch,111,-,🔒,🔒,🔒,🔒,,
Carrefour,112,100,🔒,🔒,🔒,🔒,,
Woolworths,113,130,🔒,🔒,🔒,🔒,,
E.ON,114,87,🔒,🔒,🔒,🔒,,
L'Oreal,115,-,🔒,🔒,🔒,🔒,,
Gazprom,116,149,🔒,🔒,🔒,🔒,,
Starbucks,117,-,🔒,🔒,🔒,🔒,,
EDF,118,123,🔒,🔒,🔒,🔒,,
Costco,119,125,🔒,🔒,🔒,🔒,,
Renault,120,115,🔒,🔒,🔒,🔒,,
Fox,121,131,🔒,🔒,🔒,🔒,,
BBVA,122,134,🔒,🔒,🔒,🔒,,
Philips,123,143,🔒,🔒,🔒,🔒,,
DirecTV,124,112,🔒,🔒,🔒,🔒,,
Canon,125,92,🔒,🔒,🔒,🔒,,
ASDA,126,90,🔒,🔒,🔒,🔒,,
United Healthcare,127,84,🔒,🔒,🔒,🔒,,
Visa,128,136,🔒,🔒,🔒,🔒,,
Morgan Stanley,129,150,🔒,🔒,🔒,🔒,,
Capital One,130,203,🔒,🔒,🔒,🔒,,
Danone,131,133,🔒,🔒,🔒,🔒,,
Goldman Sachs,132,91,🔒,🔒,🔒,🔒,,
Rabobank,133,129,🔒,🔒,🔒,🔒,,
Macy's,134,151,🔒,🔒,🔒,🔒,,
CSCEC,135,176,🔒,🔒,🔒,🔒,,
China Construction,136,-,🔒,🔒,🔒,🔒,,
UBS,137,159,🔒,🔒,🔒,🔒,,
Societa Generale,138,213,🔒,🔒,🔒,🔒,,
Gillette,139,121,🔒,🔒,🔒,🔒,,
T (Deutsche Telekom in Germany),140,160,🔒,🔒,🔒,🔒,,
Ericsson,141,142,🔒,🔒,🔒,🔒,,
Kellogg's,142,117,🔒,🔒,🔒,🔒,,
Petronas,143,163,🔒,🔒,🔒,🔒,,
Honeywell,144,146,🔒,🔒,🔒,🔒,,
Scotiabank,145,166,🔒,🔒,🔒,🔒,,
Standard Chartered,146,124,🔒,🔒,🔒,🔒,,
Telenor,147,226,🔒,🔒,🔒,🔒,,
Petrobras,148,172,🔒,🔒,🔒,🔒,,
NBC International,149,190,🔒,🔒,🔒,🔒,,
Zara,150,214,🔒,🔒,🔒,🔒,,
Johnson & Johnson,151,128,🔒,🔒,🔒,🔒,,
O2,152,140,🔒,🔒,🔒,🔒,,
Claro,153,165,🔒,🔒,🔒,🔒,,
Peugeot,154,116,🔒,🔒,🔒,🔒,,
Statoil,155,218,🔒,🔒,🔒,🔒,,
Sky,156,-,🔒,🔒,🔒,🔒,,
Metlife,157,157,🔒,🔒,🔒,🔒,,
Nordea,158,184,🔒,🔒,🔒,🔒,,
eni,159,152,🔒,🔒,🔒,🔒,,
U.S. Bank,160,228,🔒,🔒,🔒,🔒,,
Bank of Montreal,161,178,🔒,🔒,🔒,🔒,,
BHP Billiton,162,156,🔒,🔒,🔒,🔒,,
au,163,196,🔒,🔒,🔒,🔒,,
Caixa,164,-,🔒,🔒,🔒,🔒,,
Gucci,165,419,🔒,🔒,🔒,🔒,,
Enel,166,158,🔒,🔒,🔒,🔒,,
Dell,167,71,🔒,🔒,🔒,🔒,,
Prudential (UK),168,139,🔒,🔒,🔒,🔒,,
Ping An,169,195,🔒,🔒,🔒,🔒,,
Telstra,170,182,🔒,🔒,🔒,🔒,,
Chevrolet,171,210,🔒,🔒,🔒,🔒,,
Sainsbury's,172,161,🔒,🔒,🔒,🔒,,
State Bank of India,173,219,🔒,🔒,🔒,🔒,,
Aeon,174,164,🔒,🔒,🔒,🔒,,
Pantene,175,441,🔒,🔒,🔒,🔒,,
Coles,176,206,🔒,🔒,🔒,🔒,,
CBS,177,202,🔒,🔒,🔒,🔒,,
Union Pacific,178,167,🔒,🔒,🔒,🔒,,
Nivea,179,171,🔒,🔒,🔒,🔒,,
Zurich,180,175,🔒,🔒,🔒,🔒,,
ANZ,181,319,🔒,🔒,🔒,🔒,,
Vinci,182,155,🔒,🔒,🔒,🔒,,
Bank of Communications,183,168,🔒,🔒,🔒,🔒,,
Adidas,184,135,🔒,🔒,🔒,🔒,,
Fiat,185,239,🔒,🔒,🔒,🔒,,
Heinz,186,177,🔒,🔒,🔒,🔒,,
Mitsui & Co,187,-,🔒,🔒,🔒,🔒,,
Saint-Gobain,188,145,🔒,🔒,🔒,🔒,,
Iberdrola,189,126,🔒,🔒,🔒,🔒,,
Subway,190,192,🔒,🔒,🔒,🔒,,
Airbus,191,212,🔒,🔒,🔒,🔒,,
BASF,192,174,🔒,🔒,🔒,🔒,,
AIG,193,-,🔒,🔒,🔒,🔒,,
McLane,194,147,🔒,🔒,🔒,🔒,,
Cadbury,195,305,🔒,🔒,🔒,🔒,,
Facebook,196,101,🔒,🔒,🔒,🔒,,
Bell,197,183,🔒,🔒,🔒,🔒,,
Munich Re,198,197,🔒,🔒,🔒,🔒,,
Lancome,199,193,🔒,🔒,🔒,🔒,,
Warner Bros.,200,208,🔒,🔒,🔒,🔒,,
Huawei,201,209,🔒,🔒,🔒,🔒,,
SMFG,202,-,🔒,🔒,🔒,🔒,,
Audi,203,222,🔒,🔒,🔒,🔒,,
Jardines,204,185,🔒,🔒,🔒,🔒,,
Mastercard,205,189,🔒,🔒,🔒,🔒,,
Royal Bank of Scotland,206,257,🔒,🔒,🔒,🔒,,
Sharp,207,170,🔒,🔒,🔒,🔒,,
Kia,208,194,🔒,🔒,🔒,🔒,,
Morrisons,209,153,🔒,🔒,🔒,🔒,,
Thomson Reuters,210,162,🔒,🔒,🔒,🔒,,
Commonwealth Bank,211,244,🔒,🔒,🔒,🔒,,
Louis Vuitton,212,201,🔒,🔒,🔒,🔒,,
EMC2,213,217,🔒,🔒,🔒,🔒,,
Lukoil,214,277,🔒,🔒,🔒,🔒,,
MTN,215,187,🔒,🔒,🔒,🔒,,
Avon,216,119,🔒,🔒,🔒,🔒,,
Randstad,217,180,🔒,🔒,🔒,🔒,,
Centurylink,218,188,🔒,🔒,🔒,🔒,,
Virgin Media,219,211,🔒,🔒,🔒,🔒,,
nab,220,248,🔒,🔒,🔒,🔒,,
Purina,221,251,🔒,🔒,🔒,🔒,,
UniCredit,222,250,🔒,🔒,🔒,🔒,,
GS Group,223,-,🔒,🔒,🔒,🔒,,
KT,224,297,🔒,🔒,🔒,🔒,,
Xbox,225,205,🔒,🔒,🔒,🔒,,
Nescafe,226,249,🔒,🔒,🔒,🔒,,
SFR,227,256,🔒,🔒,🔒,🔒,,
Nordstrom,228,231,🔒,🔒,🔒,🔒,,
Swiss Re,229,294,🔒,🔒,🔒,🔒,,
Beeline,230,-,🔒,🔒,🔒,🔒,,
CIBC,231,223,🔒,🔒,🔒,🔒,,
Tencent,232,276,🔒,🔒,🔒,🔒,,
Mizuho,233,323,🔒,🔒,🔒,🔒,,
Kroger,234,221,🔒,🔒,🔒,🔒,,
Casino,235,286,🔒,🔒,🔒,🔒,,
Marks & Spencer,236,220,🔒,🔒,🔒,🔒,,
Colgate,237,234,🔒,🔒,🔒,🔒,,
Marubeni,238,241,🔒,🔒,🔒,🔒,,
Prada,239,328,🔒,🔒,🔒,🔒,,
Medtronic,240,233,🔒,🔒,🔒,🔒,,
China Merchants Bank,241,262,🔒,🔒,🔒,🔒,,
PNC,242,207,🔒,🔒,🔒,🔒,,
Rogers,243,253,🔒,🔒,🔒,🔒,,
Fujitsu,244,179,🔒,🔒,🔒,🔒,,
Unilever,245,-,🔒,🔒,🔒,🔒,,
7-Eleven,246,225,🔒,🔒,🔒,🔒,,
Publix,247,230,🔒,🔒,🔒,🔒,,
Fluor,248,-,🔒,🔒,🔒,🔒,,
Hermes,249,320,🔒,🔒,🔒,🔒,,
Winston,250,284,🔒,🔒,🔒,🔒,,
Suzuki,251,232,🔒,🔒,🔒,🔒,,
Bridgestone,252,235,🔒,🔒,🔒,🔒,,
Cartier,253,356,🔒,🔒,🔒,🔒,,
Aviva,254,227,🔒,🔒,🔒,🔒,,
priceline.com,255,261,🔒,🔒,🔒,🔒,,
Dish Network,256,278,🔒,🔒,🔒,🔒,,
RWE,257,236,🔒,🔒,🔒,🔒,,
Telcel,258,281,🔒,🔒,🔒,🔒,,
Johnnie Walker,259,484,🔒,🔒,🔒,🔒,,
Michelin,260,271,🔒,🔒,🔒,🔒,,
Johnson Controls,261,282,🔒,🔒,🔒,🔒,,
Aetna,262,289,🔒,🔒,🔒,🔒,,
Sprint,263,290,🔒,🔒,🔒,🔒,,
Pao de Acucar,264,-,🔒,🔒,🔒,🔒,,
General Motors,265,270,🔒,🔒,🔒,🔒,,
Prudential (US),266,243,🔒,🔒,🔒,🔒,,
ABB,267,293,🔒,🔒,🔒,🔒,,
MTV,268,291,🔒,🔒,🔒,🔒,,
CNOOC,269,-,🔒,🔒,🔒,🔒,,
Dove,270,198,🔒,🔒,🔒,🔒,,
LG Electronics,271,-,🔒,🔒,🔒,🔒,,
Heineken,272,274,🔒,🔒,🔒,🔒,,
Shinhan Financial Group,273,420,🔒,🔒,🔒,🔒,,
Rosneft,274,335,🔒,🔒,🔒,🔒,,
Enbridge,275,215,🔒,🔒,🔒,🔒,,
Rio Tinto,276,265,🔒,🔒,🔒,🔒,,
BNY Mellon,277,258,🔒,🔒,🔒,🔒,,
CNP Assurances,278,298,🔒,🔒,🔒,🔒,,
Westpac,279,302,🔒,🔒,🔒,🔒,,
BAE Systems,280,268,🔒,🔒,🔒,🔒,,
Cigna,281,346,🔒,🔒,🔒,🔒,,
Emirates,282,287,🔒,🔒,🔒,🔒,,
Kohl's,283,238,🔒,🔒,🔒,🔒,,
Citroen,284,247,🔒,🔒,🔒,🔒,,
Asahi,285,353,🔒,🔒,🔒,🔒,,
John Deere,286,295,🔒,🔒,🔒,🔒,,
Bayer,287,322,🔒,🔒,🔒,🔒,,
Mitsubishi Electric,288,-,🔒,🔒,🔒,🔒,,
Fresenius Medical Care,289,269,🔒,🔒,🔒,🔒,,
BBC,290,273,🔒,🔒,🔒,🔒,,
Sprite,291,272,🔒,🔒,🔒,🔒,,
Bombardier,292,246,🔒,🔒,🔒,🔒,,
Olay,293,70,🔒,🔒,🔒,🔒,,
Danske Bank,294,409,🔒,🔒,🔒,🔒,,
Metro,295,181,🔒,🔒,🔒,🔒,,
MCC,296,347,🔒,🔒,🔒,🔒,,
Daimler,297,260,🔒,🔒,🔒,🔒,,
George Weston,298,366,🔒,🔒,🔒,🔒,,
GMC,299,351,🔒,🔒,🔒,🔒,,
Estee Lauder,300,285,🔒,🔒,🔒,🔒,,
Pfizer,301,318,🔒,🔒,🔒,🔒,,
Nec,302,299,🔒,🔒,🔒,🔒,,
GS Caltex,303,242,🔒,🔒,🔒,🔒,,
Auchan,304,-,🔒,🔒,🔒,🔒,,
Lockheed Martin,305,393,🔒,🔒,🔒,🔒,,
Polo Ralph Lauren,306,324,🔒,🔒,🔒,🔒,,
ESPN,307,372,🔒,🔒,🔒,🔒,,
ArcelorMittal,308,259,🔒,🔒,🔒,🔒,,
VEOLIA,309,254,🔒,🔒,🔒,🔒,,
Reliance Industries,310,237,🔒,🔒,🔒,🔒,,
Yahoo!,311,224,🔒,🔒,🔒,🔒,,
Southern Company,312,307,🔒,🔒,🔒,🔒,,
Airtel,313,186,🔒,🔒,🔒,🔒,,
International Paper,314,314,🔒,🔒,🔒,🔒,,
Nippon Steel,315,325,🔒,🔒,🔒,🔒,,
Bank of America Merrill Lynch,316,-,🔒,🔒,🔒,🔒,,
DZ Bank,317,332,🔒,🔒,🔒,🔒,,
Rolls Royce (Aerospace and Defense),318,355,🔒,🔒,🔒,🔒,,
Playstation,319,288,🔒,🔒,🔒,🔒,,
OMV,320,308,🔒,🔒,🔒,🔒,,
Allstate,321,280,🔒,🔒,🔒,🔒,,
Aegon,322,316,🔒,🔒,🔒,🔒,,
TELUS,323,375,🔒,🔒,🔒,🔒,,
Ferrari,324,-,🔒,🔒,🔒,🔒,,
Lufthansa,325,340,🔒,🔒,🔒,🔒,,
Swisscom,326,313,🔒,🔒,🔒,🔒,,
UNIQLO,327,-,🔒,🔒,🔒,🔒,,
Safeway,328,266,🔒,🔒,🔒,🔒,,
Mountain Dew,329,310,🔒,🔒,🔒,🔒,,
ERGO,330,396,🔒,🔒,🔒,🔒,,
AutoZone,331,381,🔒,🔒,🔒,🔒,,
Paypal,332,410,🔒,🔒,🔒,🔒,,
Coach,333,359,🔒,🔒,🔒,🔒,,
Bimbo,334,443,🔒,🔒,🔒,🔒,,
Hess,335,-,🔒,🔒,🔒,🔒,,
Nomura,336,402,🔒,🔒,🔒,🔒,,
Schneider Electric,337,304,🔒,🔒,🔒,🔒,,
General Dynamics,338,333,🔒,🔒,🔒,🔒,,
SK Telecom,339,404,🔒,🔒,🔒,🔒,,
National Grid,340,321,🔒,🔒,🔒,🔒,,
Xerox,341,311,🔒,🔒,🔒,🔒,,
DBS,342,-,🔒,🔒,🔒,🔒,,
Burberry,343,370,🔒,🔒,🔒,🔒,,
Victoria's Secret,344,329,🔒,🔒,🔒,🔒,,
Mazda,345,334,🔒,🔒,🔒,🔒,,
ABN AMRO,346,-,🔒,🔒,🔒,🔒,,
ONGC,347,-,🔒,🔒,🔒,🔒,,
IndianOil,348,292,🔒,🔒,🔒,🔒,,
Magnit,349,450,🔒,🔒,🔒,🔒,,
Emerson,350,371,🔒,🔒,🔒,🔒,,
British Gas,351,303,🔒,🔒,🔒,🔒,,
CPIC,352,363,🔒,🔒,🔒,🔒,,
Sumitomo,353,-,🔒,🔒,🔒,🔒,,
Raytheon,354,275,🔒,🔒,🔒,🔒,,
Vivo,355,240,🔒,🔒,🔒,🔒,,
Vale,356,267,🔒,🔒,🔒,🔒,,
Holcim,357,455,🔒,🔒,🔒,🔒,,
Subaru,358,460,🔒,🔒,🔒,🔒,,
NYK,359,357,🔒,🔒,🔒,🔒,,
Staples,360,279,🔒,🔒,🔒,🔒,,
MTS (Russia),361,309,🔒,🔒,🔒,🔒,,
KEPCO,362,337,🔒,🔒,🔒,🔒,,
Ecopetrol,363,-,🔒,🔒,🔒,🔒,,
KFC,364,-,🔒,🔒,🔒,🔒,,
KOGAS,365,454,🔒,🔒,🔒,🔒,,
PTT,366,-,🔒,🔒,🔒,🔒,,
Mercadona,367,472,🔒,🔒,🔒,🔒,,
STC,368,399,🔒,🔒,🔒,🔒,,
3 Mobile,369,-,🔒,🔒,🔒,🔒,,
Manulife Financial,370,348,🔒,🔒,🔒,🔒,,
Delta,371,377,🔒,🔒,🔒,🔒,,
Man,372,411,🔒,🔒,🔒,🔒,,
Endesa,373,338,🔒,🔒,🔒,🔒,,
Baidu,374,486,🔒,🔒,🔒,🔒,,
Sodexo,375,414,🔒,🔒,🔒,🔒,,
Continental,376,361,🔒,🔒,🔒,🔒,,
Express Scripts,377,-,🔒,🔒,🔒,🔒,,
Oi,378,413,🔒,🔒,🔒,🔒,,
Whole Foods,379,384,🔒,🔒,🔒,🔒,,
Lloyds TSB,380,429,🔒,🔒,🔒,🔒,,
Goodyear,381,431,🔒,🔒,🔒,🔒,,
LAFARGE,382,-,🔒,🔒,🔒,🔒,,
Corona Extra,383,392,🔒,🔒,🔒,🔒,,
Suning,384,264,🔒,🔒,🔒,🔒,,
Travelers,385,376,🔒,🔒,🔒,🔒,,
UPC,386,-,🔒,🔒,🔒,🔒,,
QVC,387,306,🔒,🔒,🔒,🔒,,
Nokia,388,-,🔒,🔒,🔒,🔒,,
TUI Travel,389,-,🔒,🔒,🔒,🔒,,
Tui,390,-,🔒,🔒,🔒,🔒,,
Chubu Electric Power,391,364,🔒,🔒,🔒,🔒,,
Etisalat,392,362,🔒,🔒,🔒,🔒,,
Eroski,393,-,🔒,🔒,🔒,🔒,,
Fujifilm,394,343,🔒,🔒,🔒,🔒,,
Danaher,395,373,🔒,🔒,🔒,🔒,,
Adobe,396,389,🔒,🔒,🔒,🔒,,
Credit Agricole,397,401,🔒,🔒,🔒,🔒,,
Kyocera,398,489,🔒,🔒,🔒,🔒,,
Head & Shoulders,399,-,🔒,🔒,🔒,🔒,,
Lenovo,400,-,🔒,🔒,🔒,🔒,,
Singapore Airlines,401,350,🔒,🔒,🔒,🔒,,
Lexus,402,425,🔒,🔒,🔒,🔒,,
Mild Seven,403,-,🔒,🔒,🔒,🔒,,
Maersk,404,424,🔒,🔒,🔒,🔒,,
McKinsey,405,456,🔒,🔒,🔒,🔒,,
Chunghwa Telecom,406,487,🔒,🔒,🔒,🔒,,
Tiffany & Co.,407,-,🔒,🔒,🔒,🔒,,
Land Rover,408,-,🔒,🔒,🔒,🔒,,
SSE,409,380,🔒,🔒,🔒,🔒,,
Best Buy,410,204,🔒,🔒,🔒,🔒,,
J.C. Penney,411,438,🔒,🔒,🔒,🔒,,
Falabella,412,434,🔒,🔒,🔒,🔒,,
CSX,413,374,🔒,🔒,🔒,🔒,,
Dollar General,414,422,🔒,🔒,🔒,🔒,,
United,415,418,🔒,🔒,🔒,🔒,,
AIA,416,-,🔒,🔒,🔒,🔒,,
Fanta,417,408,🔒,🔒,🔒,🔒,,
MINI,418,436,🔒,🔒,🔒,🔒,,
China Minsheng Bank,419,-,🔒,🔒,🔒,🔒,,
Optus,420,466,🔒,🔒,🔒,🔒,,
Qualcomm,421,407,🔒,🔒,🔒,🔒,,
Christian Dior,422,462,🔒,🔒,🔒,🔒,,
Valero,423,-,🔒,🔒,🔒,🔒,,
DNB,424,492,🔒,🔒,🔒,🔒,,
GlaxoSmithKline,425,-,🔒,🔒,🔒,🔒,,
CN,426,435,🔒,🔒,🔒,🔒,,
Berkshire Hathaway Insurance,427,-,🔒,🔒,🔒,🔒,,
Ricoh,428,464,🔒,🔒,🔒,🔒,,
Skanska,429,-,🔒,🔒,🔒,🔒,,
Pearson,430,-,🔒,🔒,🔒,🔒,,
Megafon,431,-,🔒,🔒,🔒,🔒,,
Isuzu,432,-,🔒,🔒,🔒,🔒,,
Dai-Ichi Life,433,488,🔒,🔒,🔒,🔒,,
EDP,434,342,🔒,🔒,🔒,🔒,,
ThyssenKrupp,435,336,🔒,🔒,🔒,🔒,,
NongHyup Bank,436,427,🔒,🔒,🔒,🔒,,
Genting,437,405,🔒,🔒,🔒,🔒,,
BB&T,438,449,🔒,🔒,🔒,🔒,,
Kraft,439,199,🔒,🔒,🔒,🔒,,
Newport,440,-,🔒,🔒,🔒,🔒,,
Novartis,441,368,🔒,🔒,🔒,🔒,,
Wolseley,442,-,🔒,🔒,🔒,🔒,,
Chanel,443,-,🔒,🔒,🔒,🔒,,
Dow,444,-,🔒,🔒,🔒,🔒,,
TEPCO,445,312,🔒,🔒,🔒,🔒,,
Aveeno,446,495,🔒,🔒,🔒,🔒,,
Adecco,447,379,🔒,🔒,🔒,🔒,,
Ace,448,480,🔒,🔒,🔒,🔒,,
next,449,458,🔒,🔒,🔒,🔒,,
Roche,450,494,🔒,🔒,🔒,🔒,,
Dongfeng Motor,451,367,🔒,🔒,🔒,🔒,,
Deutsche Post,452,446,🔒,🔒,🔒,🔒,,
Gas Natural Fenosa,453,-,🔒,🔒,🔒,🔒,,
Media Markt & Saturn,454,245,🔒,🔒,🔒,🔒,,
Armani,455,-,🔒,🔒,🔒,🔒,,
KB Financial Group,456,-,🔒,🔒,🔒,🔒,,
Capgemini,457,400,🔒,🔒,🔒,🔒,,
China Southern Airlines,458,416,🔒,🔒,🔒,🔒,,
Wilmar,459,352,🔒,🔒,🔒,🔒,,
Discover,460,-,🔒,🔒,🔒,🔒,,
Bed Bath & Beyond,461,395,🔒,🔒,🔒,🔒,,
Blackrock,462,483,🔒,🔒,🔒,🔒,,
Harley-Davidson,463,448,🔒,🔒,🔒,🔒,,
Evonik,464,-,🔒,🔒,🔒,🔒,,
C.H. Robinson,465,349,🔒,🔒,🔒,🔒,,
Mapfre,466,444,🔒,🔒,🔒,🔒,,
Expedia.com,467,428,🔒,🔒,🔒,🔒,,
Nielsen,468,398,🔒,🔒,🔒,🔒,,
Aflac,469,421,🔒,🔒,🔒,🔒,,
Sherwin-Williams,470,-,🔒,🔒,🔒,🔒,,
Commerzbank,471,-,🔒,🔒,🔒,🔒,,
China Shenhua,472,-,🔒,🔒,🔒,🔒,,
EnBW,473,378,🔒,🔒,🔒,🔒,,
China CITIC Bank,474,-,🔒,🔒,🔒,🔒,,
Cosco,475,474,🔒,🔒,🔒,🔒,,
Bvlgari,476,-,🔒,🔒,🔒,🔒,,
PICC,477,417,🔒,🔒,🔒,🔒,,
Garnier,478,500,🔒,🔒,🔒,🔒,,
State Street,479,468,🔒,🔒,🔒,🔒,,
Eiffage,480,-,🔒,🔒,🔒,🔒,,
Kansai Electric Power Co,481,497,🔒,🔒,🔒,🔒,,
HypoVereinsbank,482,-,🔒,🔒,🔒,🔒,,
Daiwa House Industry,483,-,🔒,🔒,🔒,🔒,,
Repsol,484,-,🔒,🔒,🔒,🔒,,
Komatsu,485,457,🔒,🔒,🔒,🔒,,
Sandvik,486,-,🔒,🔒,🔒,🔒,,
West Japan Railway Co,487,-,🔒,🔒,🔒,🔒,,
Ameriprise Financial,488,-,🔒,🔒,🔒,🔒,,
Yamada,489,440,🔒,🔒,🔒,🔒,,
Mahindra,490,-,🔒,🔒,🔒,🔒,,
Zte Corp,491,-,🔒,🔒,🔒,🔒,,
Great-West Lifeco,492,-,🔒,🔒,🔒,🔒,,
