Brand,Position,Previous Position,Brand Value ($M),Previous Brand Value ($M),Rating,Previous Rating,Year,Previous Year
State Bank of India,205,351,🔒,🔒,🔒,🔒,,
Banco do Brasil,206,179,🔒,🔒,🔒,🔒,,
Land Rover,207,314,🔒,🔒,🔒,🔒,,
Canon,208,146,🔒,🔒,🔒,🔒,,
Allstate,209,275,🔒,🔒,🔒,🔒,,
Aetna,210,210,🔒,🔒,🔒,🔒,,
Uniqlo,211,277,🔒,🔒,🔒,🔒,,
BASF,212,194,🔒,🔒,🔒,🔒,,
Glencore,213,207,🔒,🔒,🔒,🔒,,
Tim Hortons,214,-,🔒,🔒,🔒,🔒,,
Delta,215,284,🔒,🔒,🔒,🔒,,
Lockheed Martin,216,375,🔒,🔒,🔒,🔒,,
Aviva,217,291,🔒,🔒,🔒,🔒,,
Marubeni,218,353,🔒,🔒,🔒,🔒,,
Louis Vuitton,219,219,🔒,🔒,🔒,🔒,,
Pampers,220,227,🔒,🔒,🔒,🔒,,
BHP Billiton,221,185,🔒,🔒,🔒,🔒,,
Purina,222,225,🔒,🔒,🔒,🔒,,
Playstation,223,294,🔒,🔒,🔒,🔒,,
Conocophillips,224,220,🔒,🔒,🔒,🔒,,
Fiat,225,253,🔒,🔒,🔒,🔒,,
Nordstrom,226,230,🔒,🔒,🔒,🔒,,
Kroger,227,206,🔒,🔒,🔒,🔒,,
BBC,228,262,🔒,🔒,🔒,🔒,,
Petrobras,229,229,🔒,🔒,🔒,🔒,,
Heinz,230,215,🔒,🔒,🔒,🔒,,
CPIC,231,336,🔒,🔒,🔒,🔒,,
Swisscom,232,257,🔒,🔒,🔒,🔒,,
Dai-Ichi Life,233,296,🔒,🔒,🔒,🔒,,
Booking.com,234,-,🔒,🔒,🔒,🔒,,
Coles,235,195,🔒,🔒,🔒,🔒,,
Dove,236,214,🔒,🔒,🔒,🔒,,
EE,237,242,🔒,🔒,🔒,🔒,,
Cadbury,238,197,🔒,🔒,🔒,🔒,,
Lukoil,239,308,🔒,🔒,🔒,🔒,,
China Minsheng Bank,240,311,🔒,🔒,🔒,🔒,,
STC,241,268,🔒,🔒,🔒,🔒,,
Westpac,242,273,🔒,🔒,🔒,🔒,,
Bridgestone,243,228,🔒,🔒,🔒,🔒,,
China Vanke,244,-,🔒,🔒,🔒,🔒,,
U.S. Bank,245,232,🔒,🔒,🔒,🔒,,
Johnnie Walker,246,269,🔒,🔒,🔒,🔒,,
Iberdrola,247,223,🔒,🔒,🔒,🔒,,
Jardines,248,204,🔒,🔒,🔒,🔒,,
Aeon,249,224,🔒,🔒,🔒,🔒,,
Rolex,250,263,🔒,🔒,🔒,🔒,,
Publix,251,249,🔒,🔒,🔒,🔒,,
Michael Kors,252,406,🔒,🔒,🔒,🔒,,
E Leclerc,253,236,🔒,🔒,🔒,🔒,,
Thomson Reuters,254,212,🔒,🔒,🔒,🔒,,
UniCredit,255,186,🔒,🔒,🔒,🔒,,
Pantene,256,202,🔒,🔒,🔒,🔒,,
Groupe Casino,257,221,🔒,🔒,🔒,🔒,,
Lenovo,258,371,🔒,🔒,🔒,🔒,,
Kia,259,241,🔒,🔒,🔒,🔒,,
Nescafe,260,216,🔒,🔒,🔒,🔒,,
Bud Light,261,256,🔒,🔒,🔒,🔒,,
Standard Chartered,262,174,🔒,🔒,🔒,🔒,,
TeliaSonera,263,-,🔒,🔒,🔒,🔒,,
nab,264,267,🔒,🔒,🔒,🔒,,
Caixa,265,282,🔒,🔒,🔒,🔒,,
CRRC,266,-,🔒,🔒,🔒,🔒,,
Michelin,267,288,🔒,🔒,🔒,🔒,,
Swiss Re,268,172,🔒,🔒,🔒,🔒,,
Munich Re,269,222,🔒,🔒,🔒,🔒,,
Qualcomm,270,315,🔒,🔒,🔒,🔒,,
KPN,271,404,🔒,🔒,🔒,🔒,,
Marks & Spencer,272,265,🔒,🔒,🔒,🔒,,
PNC,273,310,🔒,🔒,🔒,🔒,,
Claro,274,399,🔒,🔒,🔒,🔒,,
Lotte Group,275,343,🔒,🔒,🔒,🔒,,
Prudential (US),276,226,🔒,🔒,🔒,🔒,,
LIC,277,344,🔒,🔒,🔒,🔒,,
Chanel,278,303,🔒,🔒,🔒,🔒,,
China CITIC Bank,279,499,🔒,🔒,🔒,🔒,,
United,280,381,🔒,🔒,🔒,🔒,,
CIBC,281,264,🔒,🔒,🔒,🔒,,
Unilever,282,238,🔒,🔒,🔒,🔒,,
AIA,283,394,🔒,🔒,🔒,🔒,,
Morrisons,284,192,🔒,🔒,🔒,🔒,,
SYSCO,285,379,🔒,🔒,🔒,🔒,,
Rogers,286,283,🔒,🔒,🔒,🔒,,
Humana,287,-,🔒,🔒,🔒,🔒,,
Telus,288,320,🔒,🔒,🔒,🔒,,
KT,289,272,🔒,🔒,🔒,🔒,,
Mazda,290,302,🔒,🔒,🔒,🔒,,
Dish Network,291,280,🔒,🔒,🔒,🔒,,
BNY Mellon,292,292,🔒,🔒,🔒,🔒,,
PICC,293,376,🔒,🔒,🔒,🔒,,
Ferrari,294,354,🔒,🔒,🔒,🔒,,
Bayer,295,252,🔒,🔒,🔒,🔒,,
Prada,296,266,🔒,🔒,🔒,🔒,,
3 Mobile,297,322,🔒,🔒,🔒,🔒,,
Mobil,298,255,🔒,🔒,🔒,🔒,,
EMC,299,199,🔒,🔒,🔒,🔒,,
Polo Ralph Lauren,300,245,🔒,🔒,🔒,🔒,,
MTN,301,240,🔒,🔒,🔒,🔒,,
MINI,302,327,🔒,🔒,🔒,🔒,,
General Dynamics,303,456,🔒,🔒,🔒,🔒,,
Garnier,304,279,🔒,🔒,🔒,🔒,,
Burberry,305,326,🔒,🔒,🔒,🔒,,
Rolls-Royce,306,304,🔒,🔒,🔒,🔒,,
Peugeot,307,175,🔒,🔒,🔒,🔒,,
Saint-Gobain,308,287,🔒,🔒,🔒,🔒,,
20th Century Fox,309,457,🔒,🔒,🔒,🔒,,
Industrial Bank,310,459,🔒,🔒,🔒,🔒,,
British Gas,311,289,🔒,🔒,🔒,🔒,,
Magnit,312,318,🔒,🔒,🔒,🔒,,
Airtel,313,383,🔒,🔒,🔒,🔒,,
CNOOC,314,251,🔒,🔒,🔒,🔒,,
Metro,315,297,🔒,🔒,🔒,🔒,,
Moutai,316,333,🔒,🔒,🔒,🔒,,
CNP Assurances,317,271,🔒,🔒,🔒,🔒,,
Discovery,318,355,🔒,🔒,🔒,🔒,,
Esso,319,250,🔒,🔒,🔒,🔒,,
SFR,320,299,🔒,🔒,🔒,🔒,,
ABB,321,248,🔒,🔒,🔒,🔒,,
Ergo,322,367,🔒,🔒,🔒,🔒,,
DBS,323,356,🔒,🔒,🔒,🔒,,
Geico,324,405,🔒,🔒,🔒,🔒,,
Chow Tai Fook,325,300,🔒,🔒,🔒,🔒,,
Etisalat,326,438,🔒,🔒,🔒,🔒,,
John Deere,327,305,🔒,🔒,🔒,🔒,,
Twitter,328,-,🔒,🔒,🔒,🔒,,
RWE,329,301,🔒,🔒,🔒,🔒,,
Tiffany & Co.,330,-,🔒,🔒,🔒,🔒,,
Estee Lauder,331,293,🔒,🔒,🔒,🔒,,
Budweiser,332,324,🔒,🔒,🔒,🔒,,
ArcelorMittal,333,281,🔒,🔒,🔒,🔒,,
Tyson Foods,334,-,🔒,🔒,🔒,🔒,,
Southern Company,335,345,🔒,🔒,🔒,🔒,,
Harley-Davidson,336,368,🔒,🔒,🔒,🔒,,
Roche,337,437,🔒,🔒,🔒,🔒,,
Heineken,338,261,🔒,🔒,🔒,🔒,,
Rio Tinto,339,295,🔒,🔒,🔒,🔒,,
Adobe,340,419,🔒,🔒,🔒,🔒,,
Lexus,341,332,🔒,🔒,🔒,🔒,,
KB Financial Group,342,435,🔒,🔒,🔒,🔒,,
Victoria's Secret,343,370,🔒,🔒,🔒,🔒,,
Express Scripts,344,357,🔒,🔒,🔒,🔒,,
Huggies,345,358,🔒,🔒,🔒,🔒,,
Aegon,346,243,🔒,🔒,🔒,🔒,,
Volvo,347,418,🔒,🔒,🔒,🔒,,
Yahoo!,348,246,🔒,🔒,🔒,🔒,,
McKinsey,349,372,🔒,🔒,🔒,🔒,,
Lufthansa,350,334,🔒,🔒,🔒,🔒,,
MTV,351,286,🔒,🔒,🔒,🔒,,
Lay's,352,378,🔒,🔒,🔒,🔒,,
Kraft,353,497,🔒,🔒,🔒,🔒,,
7-Eleven,354,290,🔒,🔒,🔒,🔒,,
Omega,355,338,🔒,🔒,🔒,🔒,,
Whole Foods,356,359,🔒,🔒,🔒,🔒,,
Shanghai Pudong Development Bank,357,-,🔒,🔒,🔒,🔒,,
Mclane Company,358,218,🔒,🔒,🔒,🔒,,
Sherwin-Williams,359,361,🔒,🔒,🔒,🔒,,
Travelers,360,380,🔒,🔒,🔒,🔒,,
Virgin Media,361,285,🔒,🔒,🔒,🔒,,
Arla,362,450,🔒,🔒,🔒,🔒,,
Suzuki,363,244,🔒,🔒,🔒,🔒,,
Kohl's,364,352,🔒,🔒,🔒,🔒,,
MCC,365,387,🔒,🔒,🔒,🔒,,
Exxon,366,306,🔒,🔒,🔒,🔒,,
Schlumberger,367,445,🔒,🔒,🔒,🔒,,
Olay,368,350,🔒,🔒,🔒,🔒,,
MTS (Russia),369,408,🔒,🔒,🔒,🔒,,
Sprite,370,323,🔒,🔒,🔒,🔒,,
Safeway,371,312,🔒,🔒,🔒,🔒,,
Dollar General,372,393,🔒,🔒,🔒,🔒,,
priceline.com,373,-,🔒,🔒,🔒,🔒,,
Holcim,374,366,🔒,🔒,🔒,🔒,,
McCain,375,500,🔒,🔒,🔒,🔒,,
NETFLIX,376,475,🔒,🔒,🔒,🔒,,
Avon,377,193,🔒,🔒,🔒,🔒,,
Lego,378,-,🔒,🔒,🔒,🔒,,
Fujitsu,379,274,🔒,🔒,🔒,🔒,,
Alcatel-Lucent,380,316,🔒,🔒,🔒,🔒,,
Emerson,381,313,🔒,🔒,🔒,🔒,,
Western Digital,382,384,🔒,🔒,🔒,🔒,,
BAE Systems,383,433,🔒,🔒,🔒,🔒,,
Halifax,384,461,🔒,🔒,🔒,🔒,,
NatWest,385,373,🔒,🔒,🔒,🔒,,
Motorola,386,-,🔒,🔒,🔒,🔒,,
Porsche,387,422,🔒,🔒,🔒,🔒,,
Subaru,388,328,🔒,🔒,🔒,🔒,,
KEPCO,389,421,🔒,🔒,🔒,🔒,,
ADP,390,430,🔒,🔒,🔒,🔒,,
Nomura,391,231,🔒,🔒,🔒,🔒,,
Novartis,392,447,🔒,🔒,🔒,🔒,,
KBC,393,434,🔒,🔒,🔒,🔒,,
Xerox,394,346,🔒,🔒,🔒,🔒,,
Brookfield Asset Management,395,-,🔒,🔒,🔒,🔒,,
Otis,396,439,🔒,🔒,🔒,🔒,,
Xiaomi,397,-,🔒,🔒,🔒,🔒,,
TEPCO,398,363,🔒,🔒,🔒,🔒,,
LAFARGE,399,444,🔒,🔒,🔒,🔒,,
Continental,400,341,🔒,🔒,🔒,🔒,,
Johnson Controls,401,258,🔒,🔒,🔒,🔒,,
Mckesson,402,446,🔒,🔒,🔒,🔒,,
Discover,403,470,🔒,🔒,🔒,🔒,,
The Co-operative,404,400,🔒,🔒,🔒,🔒,,
Sompo Japan Nipponkoa,405,-,🔒,🔒,🔒,🔒,,
Japan Post Insurance,406,-,🔒,🔒,🔒,🔒,,
Asahi,407,331,🔒,🔒,🔒,🔒,,
Maersk,408,374,🔒,🔒,🔒,🔒,,
Royal Bank of Scotland,409,369,🔒,🔒,🔒,🔒,,
Best Buy,410,362,🔒,🔒,🔒,🔒,,
PTT,411,397,🔒,🔒,🔒,🔒,,
Wrigley's,412,309,🔒,🔒,🔒,🔒,,
Reliance,413,417,🔒,🔒,🔒,🔒,,
TUI Group,414,364,🔒,🔒,🔒,🔒,,
Safran,415,488,🔒,🔒,🔒,🔒,,
Royal Caribbean International,416,-,🔒,🔒,🔒,🔒,,
American Airlines,417,-,🔒,🔒,🔒,🔒,,
Progressive,418,467,🔒,🔒,🔒,🔒,,
British Airways,419,-,🔒,🔒,🔒,🔒,,
Denso,420,-,🔒,🔒,🔒,🔒,,
AutoZone,421,401,🔒,🔒,🔒,🔒,,
Bank of America Merrill Lynch,422,385,🔒,🔒,🔒,🔒,,
Fresenius,423,-,🔒,🔒,🔒,🔒,,
SSE,424,452,🔒,🔒,🔒,🔒,,
salesforce,425,-,🔒,🔒,🔒,🔒,,
Charter,426,-,🔒,🔒,🔒,🔒,,
MS&AD,427,-,🔒,🔒,🔒,🔒,,
Colgate,428,427,🔒,🔒,🔒,🔒,,
Expedia.com,429,-,🔒,🔒,🔒,🔒,,
Thermo Fisher Scientific,430,-,🔒,🔒,🔒,🔒,,
Royal Mail,431,235,🔒,🔒,🔒,🔒,,
Daiwa House,432,453,🔒,🔒,🔒,🔒,,
Activision Blizzard,433,388,🔒,🔒,🔒,🔒,,
WeChat,434,493,🔒,🔒,🔒,🔒,,
Clarins,435,-,🔒,🔒,🔒,🔒,,
Cognizant,436,-,🔒,🔒,🔒,🔒,,
Skol,437,415,🔒,🔒,🔒,🔒,,
Seagate,438,-,🔒,🔒,🔒,🔒,,
Auchan,439,330,🔒,🔒,🔒,🔒,,
Indian Oil,440,480,🔒,🔒,🔒,🔒,,
GMC,441,317,🔒,🔒,🔒,🔒,,
Schneider Electric,442,340,🔒,🔒,🔒,🔒,,
Southwest,443,-,🔒,🔒,🔒,🔒,,
KOGAS,444,425,🔒,🔒,🔒,🔒,,
Linkedin,445,-,🔒,🔒,🔒,🔒,,
ZTE,446,423,🔒,🔒,🔒,🔒,,
Carmax,447,443,🔒,🔒,🔒,🔒,,
Infosys,448,-,🔒,🔒,🔒,🔒,,
Valero,449,-,🔒,🔒,🔒,🔒,,
Next,450,458,🔒,🔒,🔒,🔒,,
CSX,451,486,🔒,🔒,🔒,🔒,,
Hennessy,452,-,🔒,🔒,🔒,🔒,,
ABN AMRO,453,472,🔒,🔒,🔒,🔒,,
Fanta,454,491,🔒,🔒,🔒,🔒,,
BG,455,462,🔒,🔒,🔒,🔒,,
Wolseley,456,463,🔒,🔒,🔒,🔒,,
GS Group,457,494,🔒,🔒,🔒,🔒,,
Fluor,458,389,🔒,🔒,🔒,🔒,,
Manulife,459,-,🔒,🔒,🔒,🔒,,
Coach,460,329,🔒,🔒,🔒,🔒,,
Dow,461,-,🔒,🔒,🔒,🔒,,
Deutsche Post,462,424,🔒,🔒,🔒,🔒,,
DNB,463,460,🔒,🔒,🔒,🔒,,
Pfizer,464,337,🔒,🔒,🔒,🔒,,
Sun Hung Kai Pro,465,-,🔒,🔒,🔒,🔒,,
United Technologies,466,469,🔒,🔒,🔒,🔒,,
Universal Music Group,467,-,🔒,🔒,🔒,🔒,,
MAN,468,382,🔒,🔒,🔒,🔒,,
HBO,469,-,🔒,🔒,🔒,🔒,,
National Grid,470,377,🔒,🔒,🔒,🔒,,
Larsen & Toubro,471,-,🔒,🔒,🔒,🔒,,
Advance Auto Parts,472,-,🔒,🔒,🔒,🔒,,
Poly Real Estate,473,-,🔒,🔒,🔒,🔒,,
Telcel,474,335,🔒,🔒,🔒,🔒,,
Natura,475,-,🔒,🔒,🔒,🔒,,
Svenska Handelsbanken,476,479,🔒,🔒,🔒,🔒,,
gasNatural Fenosa,477,395,🔒,🔒,🔒,🔒,,
Megafon,478,476,🔒,🔒,🔒,🔒,,
Canadian National Railway,479,478,🔒,🔒,🔒,🔒,,
Bed Bath & Beyond,480,471,🔒,🔒,🔒,🔒,,
Ace,481,477,🔒,🔒,🔒,🔒,,
China Shenhua,482,-,🔒,🔒,🔒,🔒,,
Procter & Gamble,483,489,🔒,🔒,🔒,🔒,,
Fujifilm,484,429,🔒,🔒,🔒,🔒,,
CRCC,485,-,🔒,🔒,🔒,🔒,,
Cemex,486,-,🔒,🔒,🔒,🔒,,
Suncor Energy,487,-,🔒,🔒,🔒,🔒,,
Mapfre,488,416,🔒,🔒,🔒,🔒,,
HCL,489,-,🔒,🔒,🔒,🔒,,
Chipotle Mexican,490,-,🔒,🔒,🔒,🔒,,
EDP,491,482,🔒,🔒,🔒,🔒,,
Aflac,492,492,🔒,🔒,🔒,🔒,,
