Brand,Position,Previous Position,Brand Value ($M),Previous Brand Value ($M),Rating,Previous Rating,Year,Previous Year
Apple,1,1,128303.17,104680.49,AAA,AAA,,
Samsung Group,2,2,81715.59,78752,AAA-,AAA,,
Google,3,3,76683.12,68620.25,AAA,AAA+,,
Microsoft,4,4,67060.47,62782.84,AAA,AAA,,
Verizon,5,5,59843.21,53465.89,AAA-,AAA-,,
AT&T,6,7,58820,45410.05,AA+,AA,,
Walmart,7,9,56705,44778.91,AA+,AA+,,
Amazon.com,8,8,56124.06,45146.77,AAA-,AAA-,,
McDonald's,9,23,52909,26046.91,AAA-,AAA-,,
General Electric,10,6,48018.54,52532.87,AA+,AA+,,
China Mobile,11,13,47915.78,31844.99,AAA-,AA+,,
Coca-Cola,12,12,35796.93,33721.56,AAA+,AAA+,,
IBM,13,10,35427.79,41514.47,AA+,AA+,,
Toyota,14,11,35016.57,34902.89,AAA-,AAA-,,
Wells Fargo,15,15,34925.23,30242.01,AAA-,AAA-,,
BMW,16,17,33079.38,28961.63,AAA,AAA,,
T (Deutsche Telekom),17,14,31107.93,30606.86,AA+,AA,,
Volkswagen,18,19,31025.27,27062.09,AAA-,AAA-,,
Shell,19,18,30716.42,28574.64,AAA-,AA+,,
Walt Disney,20,27,30697.62,23580.16,AAA,AAA+,,
Marlboro,21,81,28608.15,13476,AAA-,AAA-,,
ICBC,22,30,27458.93,22803.38,AA+,AA+,,
NTT Group,23,-,27375.64,-,AA-,-,,
Mercedes-Benz,24,26,27327.66,24171.46,AAA,AAA-,,
Vodafone,25,16,27286.86,29612.1,AA+,AAA-,,
HSBC,26,20,27280.03,26869.85,AAA,AAA,,
China Construction Bank,27,50,26417.24,18953.93,AAA-,AA+,,
Citi,28,24,26209.96,24517.87,AA+,AA+,,
Bank of America,29,21,25713.29,26682.57,AA+,AA+,,
Intel,30,29,25011.09,22940.37,AAA-,AA,,
The Home Depot,31,25,24471.12,24322.52,AA+,AA-,,
Facebook,32,122,24180.42,9819.49,AAA-,AA+,,
Nike,33,35,24118.43,20821.08,AAA+,AAA,,
Chase,34,28,23392,23156.87,AA,AA+,,
PetroChina,35,63,23317,16525.52,AA,AA,,
Oracle,36,37,22888.31,20635.13,AA+,AA,,
Agricultural Bank Of China,37,57,22714.05,17782.66,AA+,AA+,,
Mitsubishi Group,38,-,22679,-,AA,-,,
Honda,39,31,22423.52,22151.74,AAA-,AA+,,
American Express,40,33,21567.36,21116.12,AA+,AAA-,,
Pepsi,41,46,21379.41,19441.55,AAA-,AAA-,,
Sinopec,42,91,21278,12355.74,AA,A+,,
Nestle,43,40,21225.26,20272.8,AAA,AAA,,
Allianz,44,38,20937.14,20424.95,AA+,AA+,,
Ford,45,34,20860,21012,AA+,AAA-,,
Siemens,46,39,20508.3,20357.97,AA+,AA+,,
Bank of China,47,60,20391.69,16725.32,AAA-,AA+,,
CVS Caremark,48,53,20266.66,18283.16,AA+,AA,,
Orange,49,43,19866.7,19850.94,AA+,AA,,
Starbucks,50,-,19762,-,AA+,-,,
UPS,51,47,19537,19430.79,AA+,AA+,,
Axa,52,49,19529.49,19114.64,AA,AA,,
Hyundai Group,53,51,19357,18831.06,AAA-,AA+,,
Santander,54,42,18700.48,20021.16,AAA-,AAA-,,
IKEA,55,52,18539.94,18470.61,AA-,AA+,,
ExxonMobil,56,61,18242.48,16706.42,AA+,AA,,
Chevron,57,48,18162.54,19170.82,AA+,AA+,,
Nissan,58,32,18084.95,21193.99,AA+,AA+,,
HP,59,45,18067.94,19823.86,AA-,AA-,,
Johnson's,60,412,17742.06,3602.67,AAA+,AAA,,
Mitsui Group,61,44,17596,19837.58,AA-,AA,,
PWC,62,62,17330.09,16622.51,AAA+,AAA+,,
Cisco,63,36,16339,20783.79,AAA-,AAA,,
BT,64,69,16175.21,15260.53,AAA-,AAA-,,
SoftBank,65,56,16038.89,18008.4,AA,AA,,
Target,66,55,15380.69,18083.63,AA,AA,,
Tata Group,67,70,15377.99,14781,AA,AA+,,
Walgreens,68,67,15345,15349.64,AA+,AA,,
Total,69,72,15203.47,14514.09,AA,AA-,,
Boeing,70,105,15198.58,10942.83,AAA,AA+,,
BNP Paribas,71,41,14938.58,20206.12,AA,AAA-,,
BP,72,89,14743.22,12681.96,AA+,AA,,
NTT,73,66,14734.18,15697,AA,AA,,
H&M,74,96,14715.41,11677.91,AA,AA,,
Deloitte,75,76,14694.16,13754.71,AAA,AAA-,,
MUFG,76,-,14511.33,-,AA,-,,
Fox,77,85,14502.6,13226.57,AAA-,AAA,,
Sam's Club,78,79,14452.98,13666.8,AA,AA+,,
GDF Suez,79,64,14331.26,16398.98,AA+,AA+,,
ALDI,80,87,14300.6,12917.02,AA-,AA-,,
Barclays,81,73,14205.8,14166.08,AA,AA+,,
China Telecom,82,75,14064.34,13886.5,AA+,AA-,,
China Unicom,83,65,13790.85,15850.77,AA+,AA+,,
FedEx,84,82,13672.18,13467.08,AA+,AA+,,
Baidu,85,259,13284.21,5092.11,AA+,AA-,,
Generali Group,86,86,13002.21,13162.89,AA-,AA,,
Lowe's,87,90,12789.93,12628.61,AA,AA,,
Airbus,88,71,12744.19,14559.29,AAA-,AAA-,,
au,89,112,12676.51,10506.37,AA+,AA,,
NTT Docomo,90,-,12641.46,-,AA+,-,,
Hitachi Group,91,54,12612,18242,AA-,AA-,,
L'Oreal,92,-,12479.73,-,AAA+,-,,
Royal Bank Of Canada,93,100,12472.78,11060.05,AA,AA+,,
Bradesco,94,110,12384.51,10599.93,AAA-,AAA-,,
Bosch,95,127,12384.01,9144.71,AA+,AAA,,
KPMG,96,97,12332.13,11595.6,AAA-,AAA-,,
3M,97,93,12211.75,12190.88,AAA-,AA+,,
LG Group,98,95,12114.53,11689.06,AA,AA,,
NBC,99,137,12004.48,8417.1,AAA-,AA+,,
J.P. Morgan,100,74,11958.17,14038.65,AA,AA,,
TimeWarner,101,123,🔒,🔒,🔒,🔒,,
Huawei,102,134,🔒,🔒,🔒,🔒,,
UBS,103,109,🔒,🔒,🔒,🔒,,
Ping An,104,125,🔒,🔒,🔒,🔒,,
Subway,105,135,🔒,🔒,🔒,🔒,,
Alibaba,106,208,🔒,🔒,🔒,🔒,,
TD Bank,107,106,🔒,🔒,🔒,🔒,,
Accenture,108,102,🔒,🔒,🔒,🔒,,
Tesco,109,58,🔒,🔒,🔒,🔒,,
EY,110,103,🔒,🔒,🔒,🔒,,
Deutsche Bank,111,80,🔒,🔒,🔒,🔒,,
SK Group,112,139,🔒,🔒,🔒,🔒,,
CSCEC,113,128,🔒,🔒,🔒,🔒,,
Costco,114,113,🔒,🔒,🔒,🔒,,
SAP,115,84,🔒,🔒,🔒,🔒,,
Movistar,116,88,🔒,🔒,🔒,🔒,,
KFC,117,413,🔒,🔒,🔒,🔒,,
China Life,118,94,🔒,🔒,🔒,🔒,,
DirecTV,119,144,🔒,🔒,🔒,🔒,,
Sumitomo Group,120,133,🔒,🔒,🔒,🔒,,
UnitedHealth Group,121,121,🔒,🔒,🔒,🔒,,
DHL,122,98,🔒,🔒,🔒,🔒,,
eBay,123,83,🔒,🔒,🔒,🔒,,
EDF,124,114,🔒,🔒,🔒,🔒,,
Carrefour,125,117,🔒,🔒,🔒,🔒,,
Audi,126,177,🔒,🔒,🔒,🔒,,
Petronas,127,126,🔒,🔒,🔒,🔒,,
Goldman Sachs,128,115,🔒,🔒,🔒,🔒,,
Capital One,129,130,🔒,🔒,🔒,🔒,,
E.ON,130,124,🔒,🔒,🔒,🔒,,
Panasonic,131,99,🔒,🔒,🔒,🔒,,
Credit Suisse,132,116,🔒,🔒,🔒,🔒,,
Ericsson,133,166,🔒,🔒,🔒,🔒,,
Toshiba,134,77,🔒,🔒,🔒,🔒,,
Itau,135,120,🔒,🔒,🔒,🔒,,
Gillette,136,138,🔒,🔒,🔒,🔒,,
Woolworths,137,107,🔒,🔒,🔒,🔒,,
Lidl,138,-,🔒,🔒,🔒,🔒,,
Morgan Stanley,139,148,🔒,🔒,🔒,🔒,,
China Merchants Bank,140,239,🔒,🔒,🔒,🔒,,
ING,141,78,🔒,🔒,🔒,🔒,,
Paypal,142,173,🔒,🔒,🔒,🔒,,
Telstra,143,140,🔒,🔒,🔒,🔒,,
Sberbank,144,104,🔒,🔒,🔒,🔒,,
Zara,145,170,🔒,🔒,🔒,🔒,,
Honeywell,146,132,🔒,🔒,🔒,🔒,,
Renault,147,111,🔒,🔒,🔒,🔒,,
Visa,148,131,🔒,🔒,🔒,🔒,,
CBS,149,209,🔒,🔒,🔒,🔒,,
O2,150,164,🔒,🔒,🔒,🔒,,
Danone,151,162,🔒,🔒,🔒,🔒,,
BBVA,152,136,🔒,🔒,🔒,🔒,,
Tencent,153,163,🔒,🔒,🔒,🔒,,
Time Warner Cable,154,118,🔒,🔒,🔒,🔒,,
Philips,155,101,🔒,🔒,🔒,🔒,,
Eni,156,156,🔒,🔒,🔒,🔒,,
ASDA,157,152,🔒,🔒,🔒,🔒,,
Prudential (UK),158,161,🔒,🔒,🔒,🔒,,
Sony,159,92,🔒,🔒,🔒,🔒,,
Caterpillar,160,157,🔒,🔒,🔒,🔒,,
Dell,161,141,🔒,🔒,🔒,🔒,,
Nippon Life Insurance,162,-,🔒,🔒,🔒,🔒,,
Bell,163,178,🔒,🔒,🔒,🔒,,
Macy's,164,142,🔒,🔒,🔒,🔒,,
Zurich,165,181,🔒,🔒,🔒,🔒,,
Commonwealth Bank of Australia,166,234,🔒,🔒,🔒,🔒,,
Telecom Italia,167,149,🔒,🔒,🔒,🔒,,
Societa Generale,168,154,🔒,🔒,🔒,🔒,,
Red Bull,169,201,🔒,🔒,🔒,🔒,,
Statoil,170,211,🔒,🔒,🔒,🔒,,
Adidas,171,155,🔒,🔒,🔒,🔒,,
Enel,172,165,🔒,🔒,🔒,🔒,,
Warner Bros.,173,203,🔒,🔒,🔒,🔒,,
Chevrolet,174,191,🔒,🔒,🔒,🔒,,
Bank of Communications,175,180,🔒,🔒,🔒,🔒,,
Metlife,176,145,🔒,🔒,🔒,🔒,,
Kellogg's,177,151,🔒,🔒,🔒,🔒,,
Telenor,178,187,🔒,🔒,🔒,🔒,,
Johnson & Johnson,179,158,🔒,🔒,🔒,🔒,,
Scotiabank,180,159,🔒,🔒,🔒,🔒,,
Rabobank,181,183,🔒,🔒,🔒,🔒,,
ESPN,182,217,🔒,🔒,🔒,🔒,,
Gazprom,183,129,🔒,🔒,🔒,🔒,,
Union Pacific,184,198,🔒,🔒,🔒,🔒,,
Bank of Montreal,185,176,🔒,🔒,🔒,🔒,,
Herme's,186,182,🔒,🔒,🔒,🔒,,
Lloyds Bank,187,398,🔒,🔒,🔒,🔒,,
Sprint,188,184,🔒,🔒,🔒,🔒,,
Shinhan Financial Group,189,237,🔒,🔒,🔒,🔒,,
Mastercard,190,196,🔒,🔒,🔒,🔒,,
Xbox,191,189,🔒,🔒,🔒,🔒,,
Gucci,192,200,🔒,🔒,🔒,🔒,,
JD.com,193,-,🔒,🔒,🔒,🔒,,
Sainsbury's,194,150,🔒,🔒,🔒,🔒,,
Nordea,195,168,🔒,🔒,🔒,🔒,,
Medtronic,196,190,🔒,🔒,🔒,🔒,,
Cartier,197,169,🔒,🔒,🔒,🔒,,
ANZ,198,213,🔒,🔒,🔒,🔒,,
Centurylink,199,171,🔒,🔒,🔒,🔒,,
Emirates,200,233,🔒,🔒,🔒,🔒,,
Vinci,201,167,🔒,🔒,🔒,🔒,,
Mizuho,202,160,🔒,🔒,🔒,🔒,,
AIG,203,188,🔒,🔒,🔒,🔒,,
Nivea,204,205,🔒,🔒,🔒,🔒,,
